"location","date","new_cases"
"Australia",2020-01-26,4
"Australia",2020-01-27,1
"Australia",2020-01-28,0
"Australia",2020-01-29,1
"Australia",2020-01-30,3
"Australia",2020-01-31,0
"Australia",2020-02-01,3
"Australia",2020-02-02,0
"Australia",2020-02-03,0
"Australia",2020-02-04,1
"Australia",2020-02-05,0
"Australia",2020-02-06,1
"Australia",2020-02-07,1
"Australia",2020-02-08,0
"Australia",2020-02-09,0
"Australia",2020-02-10,0
"Australia",2020-02-11,0
"Australia",2020-02-12,0
"Australia",2020-02-13,0
"Australia",2020-02-14,0
"Australia",2020-02-15,0
"Australia",2020-02-16,0
"Australia",2020-02-17,0
"Australia",2020-02-18,0
"Australia",2020-02-19,0
"Australia",2020-02-20,0
"Australia",2020-02-21,0
"Australia",2020-02-22,0
"Australia",2020-02-23,0
"Australia",2020-02-24,0
"Australia",2020-02-25,0
"Australia",2020-02-26,0
"Australia",2020-02-27,0
"Australia",2020-02-28,0
"Australia",2020-02-29,10
"Australia",2020-03-01,2
"Australia",2020-03-02,3
"Australia",2020-03-03,9
"Australia",2020-03-04,13
"Australia",2020-03-05,3
"Australia",2020-03-06,5
"Australia",2020-03-07,3
"Australia",2020-03-08,13
"Australia",2020-03-09,15
"Australia",2020-03-10,16
"Australia",2020-03-11,21
"Australia",2020-03-12,0
"Australia",2020-03-13,72
"Australia",2020-03-14,50
"Australia",2020-03-15,47
"Australia",2020-03-16,80
"Australia",2020-03-17,75
"Australia",2020-03-18,116
"Australia",2020-03-19,113
"Australia",2020-03-20,110
"Australia",2020-03-21,280
"Australia",2020-03-22,478
"Australia",2020-03-23,133
"Australia",2020-03-24,362
"Australia",2020-03-25,320
"Australia",2020-03-26,446
"Australia",2020-03-27,333
"Australia",2020-03-28,497
"Australia",2020-03-29,344
"Australia",2020-03-30,377
"Australia",2020-03-31,198
"Australia",2020-04-01,303
"Australia",2020-04-02,254
"Australia",2020-04-03,214
"Australia",2020-04-04,220
"Australia",2020-04-05,137
"Australia",2020-04-06,110
"Australia",2020-04-07,98
"Australia",2020-04-08,115
"Australia",2020-04-09,98
"Australia",2020-04-10,107
"Australia",2020-04-11,88
"Australia",2020-04-12,12
"Australia",2020-04-13,36
"Australia",2020-04-14,64
"Australia",2020-04-15,25
"Australia",2020-04-16,22
"Australia",2020-04-17,60
"Australia",2020-04-18,46
"Australia",2020-04-19,42
"Australia",2020-04-20,13
"Australia",2020-04-21,22
"Australia",2020-04-22,7
"Australia",2020-04-23,10
"Australia",2020-04-24,15
"Australia",2020-04-25,17
"Australia",2020-04-26,20
"Australia",2020-04-27,7
"Australia",2020-04-28,23
"Australia",2020-04-29,8
"Australia",2020-04-30,14
"Australia",2020-05-01,12
"Australia",2020-05-02,21
"Australia",2020-05-03,23
"Australia",2020-05-04,25
"Australia",2020-05-05,28
"Australia",2020-05-06,19
"Australia",2020-05-07,19
"Australia",2020-05-08,5
"Australia",2020-05-09,21
"Australia",2020-05-10,9
"Australia",2020-05-11,22
"Australia",2020-05-12,10
"Australia",2020-05-13,9
"Australia",2020-05-14,30
"Australia",2020-05-15,16
"Australia",2020-05-16,9
"Australia",2020-05-17,10
"Australia",2020-05-18,14
"Australia",2020-05-19,4
"Australia",2020-05-20,9
"Australia",2020-05-21,14
"Australia",2020-05-22,4
"Australia",2020-05-23,15
"Australia",2020-05-24,0
"Australia",2020-05-25,12
"Australia",2020-05-26,13
"Australia",2020-05-27,11
"Australia",2020-05-28,15
"Australia",2020-05-29,19
"Australia",2020-05-30,8
"Australia",2020-05-31,10
"Australia",2020-06-01,19
"Australia",2020-06-02,8
"Australia",2020-06-03,11
"Australia",2020-06-04,7
"Australia",2020-06-05,5
"Australia",2020-06-06,7
"Australia",2020-06-07,6
"Australia",2020-06-08,2
"Australia",2020-06-09,7
"Australia",2020-06-10,11
"Australia",2020-06-11,4
"Australia",2020-06-12,5
"Australia",2020-06-13,26
"Australia",2020-06-14,15
"Australia",2020-06-15,12
"Australia",2020-06-16,23
"Australia",2020-06-17,21
"Australia",2020-06-18,18
"Australia",2020-06-19,2
"Australia",2020-06-20,50
"Australia",2020-06-21,13
"Australia",2020-06-22,18
"Australia",2020-06-23,29
"Australia",2020-06-24,37
"Australia",2020-06-25,37
"Australia",2020-06-26,6
"Australia",2020-06-27,85
"Australia",2020-06-28,78
"Australia",2020-06-29,70
"Australia",2020-06-30,86
"Australia",2020-07-01,81
"Australia",2020-07-02,65
"Australia",2020-07-03,194
"Australia",2020-07-04,183
"Australia",2020-07-05,140
"Australia",2020-07-06,172
"Australia",2020-07-07,131
"Australia",2020-07-08,170
"Australia",2020-07-09,318
"Australia",2020-07-10,179
"Australia",2020-07-11,244
"Australia",2020-07-12,183
"Australia",2020-07-13,271
"Australia",2020-07-14,236
"Australia",2020-07-15,323
"Australia",2020-07-16,423
"Australia",2020-07-17,208
"Australia",2020-07-18,361
"Australia",2020-07-19,267
"Australia",2020-07-20,359
"Australia",2020-07-21,466
"Australia",2020-07-22,408
"Australia",2020-07-23,293
"Australia",2020-07-24,355
"Australia",2020-07-25,453
"Australia",2020-07-26,532
"Australia",2020-07-27,368
"Australia",2020-07-28,279
"Australia",2020-07-29,716
"Australia",2020-07-30,605
"Australia",2020-07-31,377
"Australia",2020-08-01,615
"Australia",2020-08-02,423
"Australia",2020-08-03,412
"Australia",2020-08-04,715
"Australia",2020-08-05,445
"Australia",2020-08-06,382
"Australia",2020-08-07,426
"Australia",2020-08-08,386
"Australia",2020-08-09,313
"Australia",2020-08-10,316
"Australia",2020-08-11,414
"Australia",2020-08-12,231
"Australia",2020-08-13,384
"Australia",2020-08-14,293
"Australia",2020-08-15,252
"Australia",2020-08-16,271
"Australia",2020-08-17,215
"Australia",2020-08-18,216
"Australia",2020-08-19,247
"Australia",2020-08-20,171
"Australia",2020-08-21,195
"Australia",2020-08-22,209
"Australia",2020-08-23,104
"Australia",2020-08-24,138
