Country,Date,new_case_weekly
Australia,2020-01-26,12.0
Australia,2020-02-02,3.0
Australia,2020-02-09,0.0
Australia,2020-02-16,0.0
Australia,2020-02-23,10.0
Australia,2020-03-01,38.0
Australia,2020-03-08,187.0
Australia,2020-03-15,821.0
Australia,2020-03-22,2569.0
Australia,2020-03-29,1910.0
Australia,2020-04-05,753.0
Australia,2020-04-12,265.0
Australia,2020-04-19,126.0
Australia,2020-04-26,105.0
Australia,2020-05-03,140.0
Australia,2020-05-10,105.0
Australia,2020-05-17,70.0
Australia,2020-05-24,78.0
Australia,2020-05-31,67.0
Australia,2020-06-07,61.0
Australia,2020-06-14,141.0
Australia,2020-06-21,225.0
Australia,2020-06-28,757.0
Australia,2020-07-05,1354.0
Australia,2020-07-12,2005.0
Australia,2020-07-19,2601.0
Australia,2020-07-26,3492.0
Australia,2020-08-02,3189.0
Australia,2020-08-09,2203.0
Australia,2020-08-16,1524.0
Australia,2020-08-23,859.0
Australia,2020-08-30,608.0
Australia,2020-09-06,373.0
Australia,2020-09-13,247.0
Australia,2020-09-20,142.0
Australia,2020-09-27,95.0
Australia,2020-10-04,128.0
Australia,2020-10-11,127.0
Australia,2020-10-18,123.0
Australia,2020-10-25,82.0
Australia,2020-11-01,63.0
Australia,2020-11-08,53.0
Australia,2020-11-15,110.0
Australia,2020-11-22,71.0
Australia,2020-11-29,73.0
Australia,2020-12-06,65.0
Australia,2020-12-13,138.0
Australia,2020-12-20,140.0
Australia,2020-12-27,176.0
Australia,2021-01-03,111.0
Australia,2021-01-10,113.0
Australia,2021-01-17,58.0
Australia,2021-01-24,45.0
Australia,2021-01-31,40.0
Australia,2021-02-07,47.0
Australia,2021-02-14,28.0
Australia,2021-02-21,44.0
Australia,2021-02-28,64.0
Australia,2021-03-07,83.0
Australia,2021-03-14,79.0
Australia,2021-03-21,63.0
Australia,2021-03-28,89.0
Australia,2021-04-04,57.0
Australia,2021-04-11,114.0
Australia,2021-04-18,144.0
Australia,2021-04-25,161.0
Australia,2021-05-02,98.0
Australia,2021-05-09,53.0
Australia,2021-05-16,32.0
Australia,2021-05-23,89.0
Australia,2021-05-30,77.0
Australia,2021-06-06,75.0
Australia,2021-06-13,83.0
Australia,2021-06-20,168.0
Australia,2021-06-27,254.0
Australia,2021-07-04,347.0
Australia,2021-07-11,799.0
Australia,2021-07-18,1019.0
Australia,2021-07-25,1465.0
Australia,2021-08-01,1945.0
Australia,2021-08-08,2769.0
Australia,2021-08-15,4929.0
Australia,2021-08-22,7230.0
Australia,2021-08-29,10363.0
Australia,2021-09-05,11984.0
Australia,2021-09-12,12025.0
Australia,2021-09-19,11931.0
Australia,2021-09-26,13829.0
Australia,2021-10-03,16083.0
Australia,2021-10-10,15733.0
Australia,2021-10-17,15342.0
Australia,2021-10-24,12018.0
Australia,2021-10-31,9750.0
Australia,2021-11-07,9294.0
Australia,2021-11-14,8834.0
Australia,2021-11-21,9542.0
Australia,2021-11-28,9852.0
Australia,2021-12-05,11089.0
Australia,2021-12-12,21726.0
Australia,2021-12-19,49943.0
Australia,2021-12-26,162361.0
Australia,2022-01-02,509502.0
Australia,2022-01-09,753659.0
Australia,2022-01-16,470754.0
Australia,2022-01-23,373653.0
Australia,2022-01-30,183593.0
Australia,2022-02-06,175034.0
Australia,2022-02-13,130918.0
Australia,2022-02-20,157479.0
Australia,2022-02-27,173918.0
Australia,2022-03-06,234431.0
Australia,2022-03-13,303672.0
Australia,2022-03-20,375072.0
Australia,2022-03-27,401050.0
Australia,2022-04-03,383382.0
Australia,2022-04-10,249216.0
Brazil,2020-02-26,2.0
Brazil,2020-03-04,29.0
Brazil,2020-03-11,290.0
Brazil,2020-03-18,1926.0
Brazil,2020-03-25,3470.0
Brazil,2020-04-01,8317.0
Brazil,2020-04-08,11228.0
Brazil,2020-04-15,17817.0
Brazil,2020-04-22,30156.0
Brazil,2020-04-29,42220.0
Brazil,2020-05-06,62759.0
Brazil,2020-05-13,93671.0
Brazil,2020-05-20,123282.0
Brazil,2020-05-27,167796.0
Brazil,2020-06-03,180954.0
Brazil,2020-06-10,186388.0
Brazil,2020-06-17,243746.0
Brazil,2020-06-24,258414.0
Brazil,2020-07-01,264179.0
Brazil,2020-07-08,256943.0
Brazil,2020-07-15,237288.0
Brazil,2020-07-22,332602.0
Brazil,2020-07-29,308766.0
Brazil,2020-08-05,305706.0
Brazil,2020-08-12,298622.0
Brazil,2020-08-19,261504.0
Brazil,2020-08-26,280879.0
Brazil,2020-09-02,209632.0
Brazil,2020-09-09,219364.0
Brazil,2020-09-16,211035.0
Brazil,2020-09-23,185275.0
Brazil,2020-09-30,190804.0
Brazil,2020-10-07,143431.0
Brazil,2020-10-14,160038.0
Brazil,2020-10-21,166452.0
Brazil,2020-10-28,125593.0
Brazil,2020-11-04,155445.0
Brazil,2020-11-11,190302.0
Brazil,2020-11-18,210223.0
Brazil,2020-11-25,267198.0
Brazil,2020-12-02,287817.0
Brazil,2020-12-09,300456.0
Brazil,2020-12-16,344712.0
Brazil,2020-12-23,244028.0
Brazil,2020-12-30,248673.0
Brazil,2021-01-06,385653.0
Brazil,2021-01-13,378196.0
Brazil,2021-01-20,358987.0
Brazil,2021-01-27,350817.0
Brazil,2021-02-03,315486.0
Brazil,2021-02-10,330325.0
Brazil,2021-02-17,330148.0
Brazil,2021-02-24,388923.0
Brazil,2021-03-03,477893.0
Brazil,2021-03-10,484759.0
Brazil,2021-03-17,526614.0
Brazil,2021-03-24,527230.0
Brazil,2021-03-31,445352.0
Brazil,2021-04-07,493399.0
Brazil,2021-04-14,446744.0
Brazil,2021-04-21,397041.0
Brazil,2021-04-28,414005.0
Brazil,2021-05-05,426394.0
Brazil,2021-05-12,449510.0
Brazil,2021-05-19,458193.0
Brazil,2021-05-26,431496.0
Brazil,2021-06-02,412955.0
Brazil,2021-06-09,503013.0
Brazil,2021-06-16,550643.0
Brazil,2021-06-23,419741.0
Brazil,2021-06-30,340658.0
Brazil,2021-07-07,297833.0
Brazil,2021-07-14,267092.0
Brazil,2021-07-21,329574.0
Brazil,2021-07-28,235560.0
Brazil,2021-08-04,227123.0
Brazil,2021-08-11,204561.0
Brazil,2021-08-18,197127.0
Brazil,2021-08-25,162515.0
Brazil,2021-09-01,133137.0
Brazil,2021-09-08,107302.0
Brazil,2021-09-15,117900.0
Brazil,2021-09-22,125113.0
Brazil,2021-09-29,112100.0
Brazil,2021-10-06,89261.0
Brazil,2021-10-13,76400.0
Brazil,2021-10-20,83705.0
Brazil,2021-10-27,70177.0
Brazil,2021-11-03,78080.0
Brazil,2021-11-10,68088.0
Brazil,2021-11-17,66771.0
Brazil,2021-11-24,62035.0
Brazil,2021-12-01,63088.0
Brazil,2021-12-08,37398.0
Brazil,2021-12-15,23314.0
Brazil,2021-12-22,35327.0
Brazil,2021-12-29,68982.0
Brazil,2022-01-05,308107.0
Brazil,2022-01-12,593492.0
Brazil,2022-01-19,1112471.0
Brazil,2022-01-26,1292459.0
Brazil,2022-02-02,1158716.0
Brazil,2022-02-09,883971.0
Brazil,2022-02-16,684483.0
Brazil,2022-02-23,456899.0
Brazil,2022-03-02,333468.0
Brazil,2022-03-09,288721.0
Brazil,2022-03-16,250602.0
Brazil,2022-03-23,195550.0
Brazil,2022-03-30,155081.0
Brazil,2022-04-06,142014.0
Brazil,2022-04-13,49738.0
Canada,2020-01-23,4.0
Canada,2020-01-30,2.0
Canada,2020-02-06,3.0
Canada,2020-02-13,1.0
Canada,2020-02-20,10.0
Canada,2020-02-27,39.0
Canada,2020-03-05,169.0
Canada,2020-03-12,869.0
Canada,2020-03-19,3472.0
Canada,2020-03-26,7454.0
Canada,2020-04-02,9701.0
Canada,2020-04-09,10475.0
Canada,2020-04-16,12266.0
Canada,2020-04-23,11110.0
Canada,2020-04-30,10352.0
Canada,2020-05-07,8023.0
Canada,2020-05-14,8088.0
Canada,2020-05-21,6681.0
Canada,2020-05-28,5453.0
Canada,2020-06-04,3420.0
Canada,2020-06-11,2640.0
Canada,2020-06-18,2410.0
Canada,2020-06-25,2188.0
Canada,2020-07-02,2038.0
Canada,2020-07-09,2510.0
Canada,2020-07-16,3285.0
Canada,2020-07-23,3325.0
Canada,2020-07-30,2650.0
Canada,2020-08-06,2515.0
Canada,2020-08-13,2753.0
Canada,2020-08-20,3013.0
Canada,2020-08-27,3779.0
Canada,2020-09-03,4502.0
Canada,2020-09-10,6275.0
Canada,2020-09-17,8614.0
Canada,2020-09-24,12471.0
Canada,2020-10-01,14159.0
Canada,2020-10-08,16042.0
Canada,2020-10-15,16926.0
Canada,2020-10-22,19452.0
Canada,2020-10-29,22106.0
Canada,2020-11-05,30683.0
Canada,2020-11-12,33700.0
Canada,2020-11-19,37398.0
Canada,2020-11-26,42610.0
Canada,2020-12-03,45906.0
Canada,2020-12-10,47463.0
Canada,2020-12-17,47662.0
Canada,2020-12-24,46587.0
Canada,2020-12-31,54923.0
Canada,2021-01-07,52729.0
Canada,2021-01-14,41849.0
Canada,2021-01-21,33919.0
Canada,2021-01-28,27484.0
Canada,2021-02-04,23506.0
Canada,2021-02-11,20224.0
Canada,2021-02-18,21232.0
Canada,2021-02-25,20425.0
Canada,2021-03-04,21584.0
Canada,2021-03-11,23421.0
Canada,2021-03-18,28828.0
Canada,2021-03-25,37289.0
Canada,2021-04-01,48168.0
