Category: All categories

Week,vaccine: (Brazil)
2020-01-26,4
2020-02-02,4
2020-02-09,2
2020-02-16,3
2020-02-23,5
2020-03-01,5
2020-03-08,9
2020-03-15,19
2020-03-22,15
2020-03-29,13
2020-04-05,11
2020-04-12,12
2020-04-19,12
2020-04-26,10
2020-05-03,10
2020-05-10,10
2020-05-17,15
2020-05-24,10
2020-05-31,9
2020-06-07,8
2020-06-14,7
2020-06-21,9
2020-06-28,11
2020-07-05,7
2020-07-12,11
2020-07-19,12
2020-07-26,11
2020-08-02,8
2020-08-09,12
2020-08-16,8
2020-08-23,8
2020-08-30,8
2020-09-06,12
2020-09-13,7
2020-09-20,8
2020-09-27,8
2020-10-04,6
2020-10-11,8
2020-10-18,11
2020-10-25,8
2020-11-01,6
2020-11-08,11
2020-11-15,11
2020-11-22,9
2020-11-29,15
2020-12-06,22
2020-12-13,24
2020-12-20,27
2020-12-27,24
2021-01-03,24
2021-01-10,25
2021-01-17,38
2021-01-24,35
2021-01-31,26
2021-02-07,22
2021-02-14,20
2021-02-21,20
2021-02-28,26
2021-03-07,24
2021-03-14,29
2021-03-21,30
2021-03-28,29
2021-04-04,31
2021-04-11,28
2021-04-18,26
2021-04-25,31
2021-05-02,30
2021-05-09,32
2021-05-16,29
2021-05-23,31
2021-05-30,33
2021-06-06,31
2021-06-13,31
2021-06-20,50
2021-06-27,30
2021-07-04,30
2021-07-11,27
2021-07-18,28
2021-07-25,23
2021-08-01,45
2021-08-08,30
2021-08-15,24
2021-08-22,20
2021-08-29,20
2021-09-05,16
2021-09-12,20
2021-09-19,16
2021-09-26,18
2021-10-03,18
2021-10-10,15
2021-10-17,16
2021-10-24,18
2021-10-31,14
2021-11-07,16
2021-11-14,14
2021-11-21,15
2021-11-28,14
2021-12-05,14
2021-12-12,20
2021-12-19,24
2021-12-26,22
2022-01-02,22
2022-01-09,22
2022-01-16,100
2022-01-23,20
2022-01-30,15
2022-02-06,13
2022-02-13,10
2022-02-20,9
2022-02-27,8
2022-03-06,8
2022-03-13,8
2022-03-20,9
2022-03-27,8
2022-04-03,7
2022-04-10,8
