Category: All categories

Week,vaccine: (India)
2020-01-26,1
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,2
2020-03-08,6
2020-03-15,11
2020-03-22,17
2020-03-29,11
2020-04-05,8
2020-04-12,7
2020-04-19,11
2020-04-26,11
2020-05-03,18
2020-05-10,11
2020-05-17,12
2020-05-24,9
2020-05-31,9
2020-06-07,10
2020-06-14,9
2020-06-21,10
2020-06-28,13
2020-07-05,12
2020-07-12,23
2020-07-19,17
2020-07-26,13
2020-08-02,13
2020-08-09,22
2020-08-16,11
2020-08-23,9
2020-08-30,8
2020-09-06,9
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,6
2020-10-11,5
2020-10-18,5
2020-10-25,5
2020-11-01,5
2020-11-08,6
2020-11-15,7
2020-11-22,7
2020-11-29,9
2020-12-06,8
2020-12-13,7
2020-12-20,7
2020-12-27,8
2021-01-03,9
2021-01-10,10
2021-01-17,11
2021-01-24,8
2021-01-31,7
2021-02-07,5
2021-02-14,5
2021-02-21,7
2021-02-28,17
2021-03-07,14
2021-03-14,14
2021-03-21,13
2021-03-28,16
2021-04-04,21
2021-04-11,21
2021-04-18,35
2021-04-25,74
2021-05-02,62
2021-05-09,69
2021-05-16,66
2021-05-23,60
2021-05-30,57
2021-06-06,57
2021-06-13,46
2021-06-20,76
2021-06-27,49
2021-07-04,36
2021-07-11,36
2021-07-18,38
2021-07-25,38
2021-08-01,37
2021-08-08,34
2021-08-15,30
2021-08-22,34
2021-08-29,35
2021-09-05,32
2021-09-12,35
2021-09-19,29
2021-09-26,25
2021-10-03,19
2021-10-10,37
2021-10-17,39
2021-10-24,17
2021-10-31,13
2021-11-07,16
2021-11-14,16
2021-11-21,17
2021-11-28,21
2021-12-05,20
2021-12-12,17
2021-12-19,16
2021-12-26,18
2022-01-02,33
2022-01-09,25
2022-01-16,100
2022-01-23,17
2022-01-30,14
2022-02-06,12
2022-02-13,11
2022-02-20,9
2022-02-27,8
2022-03-06,6
2022-03-13,7
2022-03-20,8
2022-03-27,6
2022-04-03,6
2022-04-10,5
