Category: All categories

Week,vaccine: (Italy)
2020-01-26,4
2020-02-02,3
2020-02-09,2
2020-02-16,2
2020-02-23,6
2020-03-01,6
2020-03-08,8
2020-03-15,11
2020-03-22,7
2020-03-29,7
2020-04-05,7
2020-04-12,9
2020-04-19,7
2020-04-26,8
2020-05-03,8
2020-05-10,6
2020-05-17,7
2020-05-24,4
2020-05-31,4
2020-06-07,5
2020-06-14,4
2020-06-21,3
2020-06-28,5
2020-07-05,5
2020-07-12,5
2020-07-19,6
2020-07-26,5
2020-08-02,6
2020-08-09,9
2020-08-16,7
2020-08-23,6
2020-08-30,6
2020-09-06,8
2020-09-13,6
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,12
2020-10-18,9
2020-10-25,9
2020-11-01,6
2020-11-08,19
2020-11-15,15
2020-11-22,12
2020-11-29,14
2020-12-06,20
2020-12-13,21
2020-12-20,26
2020-12-27,44
2021-01-03,34
2021-01-10,30
2021-01-17,25
2021-01-24,22
2021-01-31,21
2021-02-07,20
2021-02-14,23
2021-02-21,27
2021-02-28,29
2021-03-07,40
2021-03-14,42
2021-03-21,35
2021-03-28,36
2021-04-04,38
2021-04-11,37
2021-04-18,31
2021-04-25,32
2021-05-02,34
2021-05-09,39
2021-05-16,40
2021-05-23,41
2021-05-30,47
2021-06-06,54
2021-06-13,47
2021-06-20,44
2021-06-27,38
2021-07-04,36
2021-07-11,37
2021-07-18,48
2021-07-25,52
2021-08-01,67
2021-08-08,45
2021-08-15,63
2021-08-22,41
2021-08-29,56
2021-09-05,29
2021-09-12,31
2021-09-19,29
2021-09-26,22
2021-10-03,20
2021-10-10,20
2021-10-17,21
2021-10-24,19
2021-10-31,21
2021-11-07,21
2021-11-14,20
2021-11-21,26
2021-11-28,29
2021-12-05,24
2021-12-12,57
2021-12-19,32
2021-12-26,37
2022-01-02,37
2022-01-09,29
2022-01-16,100
2022-01-23,25
2022-01-30,23
2022-02-06,16
2022-02-13,16
2022-02-20,10
2022-02-27,11
2022-03-06,10
2022-03-13,9
2022-03-20,10
2022-03-27,7
2022-04-03,7
2022-04-10,8
