Category: All categories

Week,vaccine: (Cuba)
2020-01-26,14
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,14
2020-03-01,13
2020-03-08,0
2020-03-15,39
2020-03-22,13
2020-03-29,40
2020-04-05,54
2020-04-12,14
2020-04-19,41
2020-04-26,27
2020-05-03,0
2020-05-10,0
2020-05-17,12
2020-05-24,0
2020-05-31,24
2020-06-07,0
2020-06-14,0
2020-06-21,14
2020-06-28,13
2020-07-05,0
2020-07-12,13
2020-07-19,0
2020-07-26,13
2020-08-02,12
2020-08-09,24
2020-08-16,36
2020-08-23,12
2020-08-30,13
2020-09-06,100
2020-09-13,13
2020-09-20,39
2020-09-27,13
2020-10-04,0
2020-10-11,0
2020-10-18,13
2020-10-25,24
2020-11-01,8
2020-11-08,12
2020-11-15,13
2020-11-22,24
2020-11-29,36
2020-12-06,32
2020-12-13,29
2020-12-20,11
2020-12-27,39
2021-01-03,48
2021-01-10,20
2021-01-17,29
2021-01-24,10
2021-01-31,39
2021-02-07,28
2021-02-14,19
2021-02-21,28
2021-02-28,73
2021-03-07,26
2021-03-14,50
2021-03-21,55
2021-03-28,28
2021-04-04,9
2021-04-11,83
2021-04-18,58
2021-04-25,29
2021-05-02,28
2021-05-09,57
2021-05-16,46
2021-05-23,38
2021-05-30,74
2021-06-06,9
2021-06-13,65
2021-06-20,91
2021-06-27,52
2021-07-04,77
2021-07-11,67
2021-07-18,28
2021-07-25,52
2021-08-01,85
2021-08-08,33
2021-08-15,32
2021-08-22,40
2021-08-29,62
2021-09-05,8
2021-09-12,32
2021-09-19,41
2021-09-26,40
2021-10-03,33
2021-10-10,32
2021-10-17,69
2021-10-24,38
2021-10-31,15
2021-11-07,24
2021-11-14,24
2021-11-21,24
2021-11-28,32
2021-12-05,23
2021-12-12,30
2021-12-19,33
2021-12-26,27
2022-01-02,37
2022-01-09,33
2022-01-16,6
2022-01-23,14
2022-01-30,7
2022-02-06,29
2022-02-13,41
2022-02-20,33
2022-02-27,27
2022-03-06,0
2022-03-13,7
2022-03-20,7
2022-03-27,0
2022-04-03,13
2022-04-10,7
