Category: All categories

Week,vaccine: (Saudi Arabia)
2020-01-26,3
2020-02-02,4
2020-02-09,4
2020-02-16,3
2020-02-23,5
2020-03-01,7
2020-03-08,12
2020-03-15,16
2020-03-22,17
2020-03-29,12
2020-04-05,12
2020-04-12,11
2020-04-19,14
2020-04-26,13
2020-05-03,17
2020-05-10,12
2020-05-17,13
2020-05-24,11
2020-05-31,10
2020-06-07,15
2020-06-14,14
2020-06-21,10
2020-06-28,15
2020-07-05,12
2020-07-12,16
2020-07-19,14
2020-07-26,12
2020-08-02,13
2020-08-09,21
2020-08-16,11
2020-08-23,9
2020-08-30,6
2020-09-06,6
2020-09-13,7
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,9
2020-10-18,10
2020-10-25,10
2020-11-01,7
2020-11-08,13
2020-11-15,11
2020-11-22,10
2020-11-29,12
2020-12-06,19
2020-12-13,26
2020-12-20,23
2020-12-27,24
2021-01-03,25
2021-01-10,29
2021-01-17,21
2021-01-24,18
2021-01-31,18
2021-02-07,16
2021-02-14,18
2021-02-21,28
2021-02-28,56
2021-03-07,94
2021-03-14,100
2021-03-21,73
2021-03-28,66
2021-04-04,70
2021-04-11,45
2021-04-18,67
2021-04-25,80
2021-05-02,60
2021-05-09,60
2021-05-16,86
2021-05-23,67
2021-05-30,51
2021-06-06,46
2021-06-13,46
2021-06-20,48
2021-06-27,55
2021-07-04,53
2021-07-11,85
2021-07-18,55
2021-07-25,71
2021-08-01,71
2021-08-08,52
2021-08-15,47
2021-08-22,47
2021-08-29,35
2021-09-05,27
2021-09-12,24
2021-09-19,22
2021-09-26,18
2021-10-03,22
2021-10-10,22
2021-10-17,23
2021-10-24,20
2021-10-31,19
2021-11-07,22
2021-11-14,18
2021-11-21,18
2021-11-28,21
2021-12-05,18
2021-12-12,20
2021-12-19,33
2021-12-26,24
2022-01-02,28
2022-01-09,37
2022-01-16,42
2022-01-23,34
2022-01-30,28
2022-02-06,22
2022-02-13,19
2022-02-20,18
2022-02-27,16
2022-03-06,16
2022-03-13,14
2022-03-20,15
2022-03-27,13
2022-04-03,10
2022-04-10,11
