Category: All categories

Week,vaccine: (Mexico)
2020-01-26,2
2020-02-02,1
2020-02-09,2
2020-02-16,2
2020-02-23,4
2020-03-01,3
2020-03-08,4
2020-03-15,12
2020-03-22,7
2020-03-29,8
2020-04-05,6
2020-04-12,6
2020-04-19,5
2020-04-26,5
2020-05-03,4
2020-05-10,6
2020-05-17,7
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,5
2020-06-21,4
2020-06-28,6
2020-07-05,5
2020-07-12,9
2020-07-19,10
2020-07-26,9
2020-08-02,8
2020-08-09,13
2020-08-16,5
2020-08-23,4
2020-08-30,4
2020-09-06,6
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,3
2020-10-11,4
2020-10-18,3
2020-10-25,4
2020-11-01,4
2020-11-08,9
2020-11-15,8
2020-11-22,8
2020-11-29,9
2020-12-06,14
2020-12-13,14
2020-12-20,18
2020-12-27,24
2021-01-03,20
2021-01-10,24
2021-01-17,26
2021-01-24,31
2021-01-31,30
2021-02-07,29
2021-02-14,28
2021-02-21,28
2021-02-28,36
2021-03-07,45
2021-03-14,49
2021-03-21,49
2021-03-28,61
2021-04-04,72
2021-04-11,63
2021-04-18,50
2021-04-25,51
2021-05-02,51
2021-05-09,49
2021-05-16,46
2021-05-23,39
2021-05-30,32
2021-06-06,29
2021-06-13,34
2021-06-20,33
2021-06-27,29
2021-07-04,35
2021-07-11,36
2021-07-18,41
2021-07-25,42
2021-08-01,59
2021-08-08,35
2021-08-15,28
2021-08-22,25
2021-08-29,23
2021-09-05,19
2021-09-12,17
2021-09-19,19
2021-09-26,21
2021-10-03,20
2021-10-10,20
2021-10-17,21
2021-10-24,21
2021-10-31,24
2021-11-07,24
2021-11-14,23
2021-11-21,25
2021-11-28,26
2021-12-05,27
2021-12-12,66
2021-12-19,26
2021-12-26,30
2022-01-02,31
2022-01-09,31
2022-01-16,100
2022-01-23,20
2022-01-30,17
2022-02-06,16
2022-02-13,14
2022-02-20,11
2022-02-27,9
2022-03-06,9
2022-03-13,10
2022-03-20,8
2022-03-27,8
2022-04-03,7
2022-04-10,9
