Category: All categories

Week,vaccine: (Singapore)
2020-01-26,8
2020-02-02,5
2020-02-09,6
2020-02-16,3
2020-02-23,4
2020-03-01,4
2020-03-08,7
2020-03-15,10
2020-03-22,8
2020-03-29,7
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,6
2020-05-03,5
2020-05-10,5
2020-05-17,8
2020-05-24,6
2020-05-31,5
2020-06-07,6
2020-06-14,7
2020-06-21,5
2020-06-28,6
2020-07-05,6
2020-07-12,10
2020-07-19,9
2020-07-26,7
2020-08-02,8
2020-08-09,13
2020-08-16,8
2020-08-23,8
2020-08-30,8
2020-09-06,9
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,6
2020-10-11,7
2020-10-18,9
2020-10-25,8
2020-11-01,5
2020-11-08,15
2020-11-15,13
2020-11-22,11
2020-11-29,13
2020-12-06,18
2020-12-13,33
2020-12-20,22
2020-12-27,19
2021-01-03,23
2021-01-10,25
2021-01-17,32
2021-01-24,27
2021-01-31,25
2021-02-07,18
2021-02-14,26
2021-02-21,32
2021-02-28,31
2021-03-07,43
2021-03-14,51
2021-03-21,69
2021-03-28,56
2021-04-04,63
2021-04-11,63
2021-04-18,47
2021-04-25,68
2021-05-02,46
2021-05-09,46
2021-05-16,70
2021-05-23,56
2021-05-30,89
2021-06-06,83
2021-06-13,75
2021-06-20,94
2021-06-27,100
2021-07-04,76
2021-07-11,65
2021-07-18,60
2021-07-25,57
2021-08-01,80
2021-08-08,60
2021-08-15,42
2021-08-22,37
2021-08-29,31
2021-09-05,25
2021-09-12,26
2021-09-19,26
2021-09-26,24
2021-10-03,27
2021-10-10,31
2021-10-17,25
2021-10-24,27
2021-10-31,24
2021-11-07,22
2021-11-14,25
2021-11-21,19
2021-11-28,19
2021-12-05,19
2021-12-12,24
2021-12-19,21
2021-12-26,25
2022-01-02,30
2022-01-09,28
2022-01-16,21
2022-01-23,20
2022-01-30,17
2022-02-06,21
2022-02-13,18
2022-02-20,15
2022-02-27,13
2022-03-06,13
2022-03-13,11
2022-03-20,11
2022-03-27,11
2022-04-03,10
2022-04-10,9
