Category: All categories

Week,export: (France)
2020-01-26,87
2020-02-02,89
2020-02-09,85
2020-02-16,84
2020-02-23,82
2020-03-01,88
2020-03-08,81
2020-03-15,64
2020-03-22,68
2020-03-29,78
2020-04-05,71
2020-04-12,71
2020-04-19,79
2020-04-26,83
2020-05-03,73
2020-05-10,77
2020-05-17,83
2020-05-24,80
2020-05-31,72
2020-06-07,79
2020-06-14,87
2020-06-21,87
2020-06-28,84
2020-07-05,77
2020-07-12,76
2020-07-19,88
2020-07-26,72
2020-08-02,70
2020-08-09,65
2020-08-16,72
2020-08-23,78
2020-08-30,84
2020-09-06,83
2020-09-13,86
2020-09-20,85
2020-09-27,86
2020-10-04,79
2020-10-11,83
2020-10-18,74
2020-10-25,70
2020-11-01,68
2020-11-08,72
2020-11-15,79
2020-11-22,68
2020-11-29,69
2020-12-06,72
2020-12-13,75
2020-12-20,60
2020-12-27,51
2021-01-03,75
2021-01-10,81
2021-01-17,79
2021-01-24,81
2021-01-31,86
2021-02-07,81
2021-02-14,77
2021-02-21,74
2021-02-28,82
2021-03-07,82
2021-03-14,81
2021-03-21,79
2021-03-28,77
2021-04-04,69
2021-04-11,77
2021-04-18,73
2021-04-25,74
2021-05-02,77
2021-05-09,65
2021-05-16,75
2021-05-23,67
2021-05-30,73
2021-06-06,75
2021-06-13,73
2021-06-20,70
2021-06-27,64
2021-07-04,65
2021-07-11,60
2021-07-18,66
2021-07-25,62
2021-08-01,55
2021-08-08,54
2021-08-15,51
2021-08-22,65
2021-08-29,68
2021-09-05,74
2021-09-12,75
2021-09-19,78
2021-09-26,77
2021-10-03,77
2021-10-10,73
2021-10-17,87
2021-10-24,82
2021-10-31,77
2021-11-07,78
2021-11-14,82
2021-11-21,79
2021-11-28,80
2021-12-05,94
2021-12-12,76
2021-12-19,59
2021-12-26,54
2022-01-02,81
2022-01-09,90
2022-01-16,92
2022-01-23,96
2022-01-30,100
2022-02-06,84
2022-02-13,95
2022-02-20,94
2022-02-27,94
2022-03-06,91
2022-03-13,97
2022-03-20,95
2022-03-27,92
2022-04-03,89
2022-04-10,97
