Category: All categories

Week,export: (Hong Kong)
2020-01-26,58
2020-02-02,74
2020-02-09,76
2020-02-16,78
2020-02-23,78
2020-03-01,83
2020-03-08,82
2020-03-15,69
2020-03-22,85
2020-03-29,79
2020-04-05,65
2020-04-12,88
2020-04-19,71
2020-04-26,65
2020-05-03,100
2020-05-10,80
2020-05-17,80
2020-05-24,76
2020-05-31,75
2020-06-07,86
2020-06-14,93
2020-06-21,59
2020-06-28,81
2020-07-05,72
2020-07-12,82
2020-07-19,88
2020-07-26,82
2020-08-02,76
2020-08-09,58
2020-08-16,64
2020-08-23,65
2020-08-30,72
2020-09-06,72
2020-09-13,76
2020-09-20,66
2020-09-27,58
2020-10-04,73
2020-10-11,59
2020-10-18,63
2020-10-25,56
2020-11-01,48
2020-11-08,72
2020-11-15,60
2020-11-22,73
2020-11-29,69
2020-12-06,62
2020-12-13,56
2020-12-20,57
2020-12-27,68
2021-01-03,62
2021-01-10,72
2021-01-17,61
2021-01-24,63
2021-01-31,60
2021-02-07,66
2021-02-14,58
2021-02-21,65
2021-02-28,69
2021-03-07,67
2021-03-14,64
2021-03-21,82
2021-03-28,65
2021-04-04,52
2021-04-11,71
2021-04-18,62
2021-04-25,69
2021-05-02,77
2021-05-09,76
2021-05-16,65
2021-05-23,69
2021-05-30,68
2021-06-06,78
2021-06-13,58
2021-06-20,61
2021-06-27,76
2021-07-04,77
2021-07-11,76
2021-07-18,83
2021-07-25,63
2021-08-01,66
2021-08-08,70
2021-08-15,70
2021-08-22,54
2021-08-29,54
2021-09-05,85
2021-09-12,63
2021-09-19,72
2021-09-26,66
2021-10-03,63
2021-10-10,53
2021-10-17,68
2021-10-24,56
2021-10-31,68
2021-11-07,73
2021-11-14,75
2021-11-21,79
2021-11-28,74
2021-12-05,69
2021-12-12,63
2021-12-19,62
2021-12-26,43
2022-01-02,57
2022-01-09,77
2022-01-16,69
2022-01-23,61
2022-01-30,38
2022-02-06,49
2022-02-13,68
2022-02-20,56
2022-02-27,57
2022-03-06,59
2022-03-13,68
2022-03-20,69
2022-03-27,71
2022-04-03,49
2022-04-10,61
