Category: All categories

Week,export: (Poland)
2020-01-26,75
2020-02-02,79
2020-02-09,85
2020-02-16,91
2020-02-23,79
2020-03-01,76
2020-03-08,75
2020-03-15,81
2020-03-22,71
2020-03-29,68
2020-04-05,84
2020-04-12,78
2020-04-19,77
2020-04-26,84
2020-05-03,70
2020-05-10,96
2020-05-17,81
2020-05-24,92
2020-05-31,85
2020-06-07,75
2020-06-14,84
2020-06-21,82
2020-06-28,73
2020-07-05,76
2020-07-12,87
2020-07-19,84
2020-07-26,86
2020-08-02,90
2020-08-09,88
2020-08-16,78
2020-08-23,89
2020-08-30,74
2020-09-06,81
2020-09-13,88
2020-09-20,80
2020-09-27,72
2020-10-04,74
2020-10-11,69
2020-10-18,65
2020-10-25,55
2020-11-01,67
2020-11-08,65
2020-11-15,71
2020-11-22,68
2020-11-29,71
2020-12-06,68
2020-12-13,61
2020-12-20,71
2020-12-27,54
2021-01-03,66
2021-01-10,79
2021-01-17,69
2021-01-24,77
2021-01-31,77
2021-02-07,90
2021-02-14,79
2021-02-21,72
2021-02-28,71
2021-03-07,75
2021-03-14,74
2021-03-21,71
2021-03-28,63
2021-04-04,69
2021-04-11,78
2021-04-18,65
2021-04-25,68
2021-05-02,75
2021-05-09,78
2021-05-16,71
2021-05-23,73
2021-05-30,58
2021-06-06,74
2021-06-13,76
2021-06-20,63
2021-06-27,69
2021-07-04,49
2021-07-11,80
2021-07-18,74
2021-07-25,78
2021-08-01,55
2021-08-08,69
2021-08-15,54
2021-08-22,70
2021-08-29,77
2021-09-05,67
2021-09-12,71
2021-09-19,73
2021-09-26,74
2021-10-03,69
2021-10-10,86
2021-10-17,72
2021-10-24,76
2021-10-31,67
2021-11-07,63
2021-11-14,74
2021-11-21,70
2021-11-28,77
2021-12-05,79
2021-12-12,80
2021-12-19,73
2021-12-26,62
2022-01-02,76
2022-01-09,94
2022-01-16,98
2022-01-23,100
2022-01-30,89
2022-02-06,88
2022-02-13,91
2022-02-20,93
2022-02-27,97
2022-03-06,94
2022-03-13,90
2022-03-20,89
2022-03-27,91
2022-04-03,99
2022-04-10,87
