Category: All categories

Week,export: (South Korea)
2020-01-26,62
2020-02-02,70
2020-02-09,83
2020-02-16,93
2020-02-23,69
2020-03-01,76
2020-03-08,82
2020-03-15,85
2020-03-22,72
2020-03-29,82
2020-04-05,83
2020-04-12,74
2020-04-19,69
2020-04-26,61
2020-05-03,64
2020-05-10,79
2020-05-17,78
2020-05-24,90
2020-05-31,90
2020-06-07,83
2020-06-14,95
2020-06-21,87
2020-06-28,84
2020-07-05,62
2020-07-12,85
2020-07-19,100
2020-07-26,74
2020-08-02,76
2020-08-09,82
2020-08-16,66
2020-08-23,76
2020-08-30,84
2020-09-06,65
2020-09-13,73
2020-09-20,86
2020-09-27,38
2020-10-04,66
2020-10-11,91
2020-10-18,74
2020-10-25,61
2020-11-01,76
2020-11-08,73
2020-11-15,85
2020-11-22,75
2020-11-29,68
2020-12-06,67
2020-12-13,64
2020-12-20,42
2020-12-27,47
2021-01-03,59
2021-01-10,73
2021-01-17,64
2021-01-24,71
2021-01-31,69
2021-02-07,44
2021-02-14,59
2021-02-21,58
2021-02-28,53
2021-03-07,68
2021-03-14,70
2021-03-21,68
2021-03-28,68
2021-04-04,75
2021-04-11,75
2021-04-18,65
2021-04-25,75
2021-05-02,73
2021-05-09,81
2021-05-16,63
2021-05-23,75
2021-05-30,70
2021-06-06,63
2021-06-13,71
2021-06-20,55
2021-06-27,77
2021-07-04,55
2021-07-11,69
2021-07-18,66
2021-07-25,62
2021-08-01,50
2021-08-08,66
2021-08-15,49
2021-08-22,51
2021-08-29,65
2021-09-05,64
2021-09-12,64
2021-09-19,36
2021-09-26,62
2021-10-03,67
2021-10-10,62
2021-10-17,68
2021-10-24,69
2021-10-31,83
2021-11-07,57
2021-11-14,60
2021-11-21,68
2021-11-28,64
2021-12-05,63
2021-12-12,58
2021-12-19,78
2021-12-26,51
2022-01-02,64
2022-01-09,71
2022-01-16,75
2022-01-23,80
2022-01-30,47
2022-02-06,58
2022-02-13,70
2022-02-20,69
2022-02-27,70
2022-03-06,58
2022-03-13,77
2022-03-20,69
2022-03-27,67
2022-04-03,60
2022-04-10,64
