Category: All categories

Week,export: (Saudi Arabia)
2020-01-26,80
2020-02-02,83
2020-02-09,93
2020-02-16,72
2020-02-23,80
2020-03-01,76
2020-03-08,88
2020-03-15,62
2020-03-22,60
2020-03-29,58
2020-04-05,71
2020-04-12,76
2020-04-19,68
2020-04-26,78
2020-05-03,70
2020-05-10,67
2020-05-17,50
2020-05-24,71
2020-05-31,47
2020-06-07,92
2020-06-14,100
2020-06-21,88
2020-06-28,68
2020-07-05,86
2020-07-12,91
2020-07-19,77
2020-07-26,62
2020-08-02,70
2020-08-09,82
2020-08-16,71
2020-08-23,81
2020-08-30,74
2020-09-06,54
2020-09-13,52
2020-09-20,54
2020-09-27,58
2020-10-04,55
2020-10-11,53
2020-10-18,65
2020-10-25,58
2020-11-01,52
2020-11-08,34
2020-11-15,67
2020-11-22,48
2020-11-29,63
2020-12-06,37
2020-12-13,50
2020-12-20,53
2020-12-27,47
2021-01-03,83
2021-01-10,72
2021-01-17,56
2021-01-24,55
2021-01-31,41
2021-02-07,40
2021-02-14,69
2021-02-21,42
2021-02-28,59
2021-03-07,46
2021-03-14,57
2021-03-21,60
2021-03-28,58
2021-04-04,39
2021-04-11,46
2021-04-18,52
2021-04-25,58
2021-05-02,44
2021-05-09,57
2021-05-16,68
2021-05-23,65
2021-05-30,53
2021-06-06,65
2021-06-13,67
2021-06-20,61
2021-06-27,59
2021-07-04,66
2021-07-11,65
2021-07-18,40
2021-07-25,62
2021-08-01,52
2021-08-08,58
2021-08-15,76
2021-08-22,63
2021-08-29,59
2021-09-05,52
2021-09-12,59
2021-09-19,56
2021-09-26,50
2021-10-03,46
2021-10-10,48
2021-10-17,59
2021-10-24,46
2021-10-31,43
2021-11-07,57
2021-11-14,35
2021-11-21,60
2021-11-28,55
2021-12-05,52
2021-12-12,67
2021-12-19,52
2021-12-26,43
2022-01-02,46
2022-01-09,63
2022-01-16,61
2022-01-23,65
2022-01-30,74
2022-02-06,76
2022-02-13,49
2022-02-20,75
2022-02-27,55
2022-03-06,63
2022-03-13,63
2022-03-20,47
2022-03-27,73
2022-04-03,57
2022-04-10,61
