Category: All categories

Week,export: (Singapore)
2020-01-26,65
2020-02-02,90
2020-02-09,96
2020-02-16,93
2020-02-23,80
2020-03-01,85
2020-03-08,71
2020-03-15,79
2020-03-22,100
2020-03-29,100
2020-04-05,92
2020-04-12,77
2020-04-19,76
2020-04-26,74
2020-05-03,82
2020-05-10,93
2020-05-17,85
2020-05-24,93
2020-05-31,87
2020-06-07,85
2020-06-14,79
2020-06-21,88
2020-06-28,81
2020-07-05,76
2020-07-12,79
2020-07-19,90
2020-07-26,84
2020-08-02,75
2020-08-09,67
2020-08-16,83
2020-08-23,82
2020-08-30,76
2020-09-06,84
2020-09-13,76
2020-09-20,82
2020-09-27,76
2020-10-04,86
2020-10-11,84
2020-10-18,60
2020-10-25,70
2020-11-01,69
2020-11-08,77
2020-11-15,59
2020-11-22,82
2020-11-29,74
2020-12-06,59
2020-12-13,53
2020-12-20,54
2020-12-27,50
2021-01-03,61
2021-01-10,68
2021-01-17,64
2021-01-24,69
2021-01-31,80
2021-02-07,58
2021-02-14,68
2021-02-21,64
2021-02-28,64
2021-03-07,66
2021-03-14,69
2021-03-21,82
2021-03-28,69
2021-04-04,71
2021-04-11,71
2021-04-18,64
2021-04-25,81
2021-05-02,69
2021-05-09,62
2021-05-16,75
2021-05-23,69
2021-05-30,69
2021-06-06,80
2021-06-13,77
2021-06-20,70
2021-06-27,77
2021-07-04,72
2021-07-11,78
2021-07-18,60
2021-07-25,67
2021-08-01,65
2021-08-08,67
2021-08-15,76
2021-08-22,87
2021-08-29,84
2021-09-05,62
2021-09-12,74
2021-09-19,72
2021-09-26,73
2021-10-03,73
2021-10-10,71
2021-10-17,78
2021-10-24,75
2021-10-31,64
2021-11-07,78
2021-11-14,73
2021-11-21,76
2021-11-28,67
2021-12-05,74
2021-12-12,61
2021-12-19,60
2021-12-26,52
2022-01-02,64
2022-01-09,91
2022-01-16,78
2022-01-23,76
2022-01-30,57
2022-02-06,61
2022-02-13,70
2022-02-20,65
2022-02-27,80
2022-03-06,94
2022-03-13,80
2022-03-20,75
2022-03-27,77
2022-04-03,85
2022-04-10,64
