Category: All categories

Week,export: (Italy)
2020-01-26,64
2020-02-02,75
2020-02-09,78
2020-02-16,74
2020-02-23,68
2020-03-01,68
2020-03-08,57
2020-03-15,68
2020-03-22,61
2020-03-29,63
2020-04-05,70
2020-04-12,66
2020-04-19,77
2020-04-26,67
2020-05-03,84
2020-05-10,76
2020-05-17,70
2020-05-24,75
2020-05-31,68
2020-06-07,75
2020-06-14,76
2020-06-21,69
2020-06-28,67
2020-07-05,63
2020-07-12,68
2020-07-19,64
2020-07-26,63
2020-08-02,50
2020-08-09,42
2020-08-16,57
2020-08-23,58
2020-08-30,61
2020-09-06,66
2020-09-13,77
2020-09-20,66
2020-09-27,74
2020-10-04,74
2020-10-11,56
2020-10-18,60
2020-10-25,61
2020-11-01,52
2020-11-08,59
2020-11-15,60
2020-11-22,64
2020-11-29,67
2020-12-06,49
2020-12-13,56
2020-12-20,46
2020-12-27,46
2021-01-03,58
2021-01-10,72
2021-01-17,63
2021-01-24,69
2021-01-31,76
2021-02-07,59
2021-02-14,58
2021-02-21,70
2021-02-28,76
2021-03-07,68
2021-03-14,63
2021-03-21,70
2021-03-28,61
2021-04-04,62
2021-04-11,66
2021-04-18,66
2021-04-25,66
2021-05-02,64
2021-05-09,62
2021-05-16,62
2021-05-23,60
2021-05-30,59
2021-06-06,57
2021-06-13,59
2021-06-20,53
2021-06-27,53
2021-07-04,53
2021-07-11,48
2021-07-18,57
2021-07-25,53
2021-08-01,48
2021-08-08,42
2021-08-15,39
2021-08-22,43
2021-08-29,53
2021-09-05,58
2021-09-12,57
2021-09-19,62
2021-09-26,69
2021-10-03,60
2021-10-10,68
2021-10-17,64
2021-10-24,60
2021-10-31,62
2021-11-07,59
2021-11-14,63
2021-11-21,60
2021-11-28,62
2021-12-05,57
2021-12-12,71
2021-12-19,66
2021-12-26,50
2022-01-02,60
2022-01-09,65
2022-01-16,76
2022-01-23,77
2022-01-30,77
2022-02-06,86
2022-02-13,73
2022-02-20,86
2022-02-27,92
2022-03-06,100
2022-03-13,83
2022-03-20,79
2022-03-27,86
2022-04-03,87
2022-04-10,72
