Category: All categories

Week,export: (Russia)
2020-01-26,84
2020-02-02,77
2020-02-09,86
2020-02-16,90
2020-02-23,90
2020-03-01,80
2020-03-08,72
2020-03-15,81
2020-03-22,84
2020-03-29,86
2020-04-05,78
2020-04-12,80
2020-04-19,60
2020-04-26,95
2020-05-03,76
2020-05-10,70
2020-05-17,72
2020-05-24,86
2020-05-31,81
2020-06-07,80
2020-06-14,87
2020-06-21,80
2020-06-28,82
2020-07-05,92
2020-07-12,99
2020-07-19,66
2020-07-26,96
2020-08-02,70
2020-08-09,81
2020-08-16,83
2020-08-23,72
2020-08-30,93
2020-09-06,88
2020-09-13,87
2020-09-20,80
2020-09-27,83
2020-10-04,56
2020-10-11,62
2020-10-18,59
2020-10-25,53
2020-11-01,57
2020-11-08,61
2020-11-15,57
2020-11-22,48
2020-11-29,55
2020-12-06,71
2020-12-13,67
2020-12-20,67
2020-12-27,55
2021-01-03,35
2021-01-10,50
2021-01-17,61
2021-01-24,62
2021-01-31,71
2021-02-07,67
2021-02-14,74
2021-02-21,67
2021-02-28,70
2021-03-07,63
2021-03-14,72
2021-03-21,82
2021-03-28,82
2021-04-04,71
2021-04-11,76
2021-04-18,74
2021-04-25,80
2021-05-02,60
2021-05-09,72
2021-05-16,69
2021-05-23,75
2021-05-30,78
2021-06-06,73
2021-06-13,57
2021-06-20,69
2021-06-27,71
2021-07-04,61
2021-07-11,67
2021-07-18,68
2021-07-25,79
2021-08-01,59
2021-08-08,64
2021-08-15,70
2021-08-22,68
2021-08-29,77
2021-09-05,67
2021-09-12,71
2021-09-19,79
2021-09-26,61
2021-10-03,52
2021-10-10,71
2021-10-17,83
2021-10-24,70
2021-10-31,55
2021-11-07,82
2021-11-14,78
2021-11-21,71
2021-11-28,84
2021-12-05,82
2021-12-12,89
2021-12-19,89
2021-12-26,71
2022-01-02,44
2022-01-09,79
2022-01-16,77
2022-01-23,79
2022-01-30,82
2022-02-06,90
2022-02-13,90
2022-02-20,77
2022-02-27,100
2022-03-06,94
2022-03-13,98
2022-03-20,93
2022-03-27,92
2022-04-03,94
2022-04-10,92
