Category: All categories

Week,covid: (India)
2020-01-26,0
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,<1
2020-03-01,2
2020-03-08,7
2020-03-15,24
2020-03-22,61
2020-03-29,69
2020-04-05,66
2020-04-12,66
2020-04-19,63
2020-04-26,63
2020-05-03,66
2020-05-10,54
2020-05-17,52
2020-05-24,46
2020-05-31,40
2020-06-07,42
2020-06-14,36
2020-06-21,37
2020-06-28,37
2020-07-05,35
2020-07-12,37
2020-07-19,34
2020-07-26,30
2020-08-02,27
2020-08-09,25
2020-08-16,23
2020-08-23,21
2020-08-30,21
2020-09-06,22
2020-09-13,20
2020-09-20,18
2020-09-27,17
2020-10-04,15
2020-10-11,14
2020-10-18,13
2020-10-25,14
2020-11-01,13
2020-11-08,13
2020-11-15,17
2020-11-22,16
2020-11-29,12
2020-12-06,12
2020-12-13,11
2020-12-20,13
2020-12-27,11
2021-01-03,11
2021-01-10,10
2021-01-17,10
2021-01-24,9
2021-01-31,9
2021-02-07,8
2021-02-14,10
2021-02-21,14
2021-02-28,16
2021-03-07,15
2021-03-14,18
2021-03-21,23
2021-03-28,28
2021-04-04,42
2021-04-11,57
2021-04-18,80
2021-04-25,100
2021-05-02,91
2021-05-09,82
2021-05-16,70
2021-05-23,60
2021-05-30,52
2021-06-06,45
2021-06-13,37
2021-06-20,47
2021-06-27,31
2021-07-04,27
2021-07-11,25
2021-07-18,26
2021-07-25,27
2021-08-01,28
2021-08-08,25
2021-08-15,23
2021-08-22,25
2021-08-29,25
2021-09-05,23
2021-09-12,23
2021-09-19,19
2021-09-26,17
2021-10-03,14
2021-10-10,23
2021-10-17,25
2021-10-24,15
2021-10-31,11
2021-11-07,13
2021-11-14,13
2021-11-21,15
2021-11-28,22
2021-12-05,19
2021-12-12,16
2021-12-19,16
2021-12-26,24
2022-01-02,50
2022-01-09,44
2022-01-16,77
2022-01-23,28
2022-01-30,19
2022-02-06,14
2022-02-13,11
2022-02-20,9
2022-02-27,8
2022-03-06,7
2022-03-13,8
2022-03-20,8
2022-03-27,7
2022-04-03,7
2022-04-10,8
