Category: All categories

Week,covid: (Cuba)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,1
2020-02-23,1
2020-03-01,4
2020-03-08,21
2020-03-15,48
2020-03-22,81
2020-03-29,71
2020-04-05,74
2020-04-12,66
2020-04-19,58
2020-04-26,49
2020-05-03,48
2020-05-10,36
2020-05-17,37
2020-05-24,32
2020-05-31,36
2020-06-07,37
2020-06-14,32
2020-06-21,39
2020-06-28,37
2020-07-05,37
2020-07-12,33
2020-07-19,34
2020-07-26,49
2020-08-02,63
2020-08-09,88
2020-08-16,60
2020-08-23,48
2020-08-30,55
2020-09-06,51
2020-09-13,49
2020-09-20,44
2020-09-27,45
2020-10-04,38
2020-10-11,48
2020-10-18,50
2020-10-25,44
2020-11-01,32
2020-11-08,37
2020-11-15,37
2020-11-22,41
2020-11-29,45
2020-12-06,38
2020-12-13,39
2020-12-20,52
2020-12-27,39
2021-01-03,61
2021-01-10,100
2021-01-17,85
2021-01-24,89
2021-01-31,77
2021-02-07,60
2021-02-14,55
2021-02-21,56
2021-02-28,48
2021-03-07,42
2021-03-14,40
2021-03-21,38
2021-03-28,42
2021-04-04,49
2021-04-11,48
2021-04-18,46
2021-04-25,49
2021-05-02,38
2021-05-09,41
2021-05-16,36
2021-05-23,38
2021-05-30,37
2021-06-06,35
2021-06-13,44
2021-06-20,70
2021-06-27,76
2021-07-04,96
2021-07-11,76
2021-07-18,65
2021-07-25,74
2021-08-01,79
2021-08-08,69
2021-08-15,67
2021-08-22,66
2021-08-29,66
2021-09-05,62
2021-09-12,51
2021-09-19,42
2021-09-26,39
2021-10-03,36
2021-10-10,34
2021-10-17,28
2021-10-24,23
2021-10-31,30
2021-11-07,25
2021-11-14,27
2021-11-21,25
2021-11-28,35
2021-12-05,21
2021-12-12,20
2021-12-19,20
2021-12-26,34
2022-01-02,60
2022-01-09,49
2022-01-16,32
2022-01-23,25
2022-01-30,19
2022-02-06,17
2022-02-13,18
2022-02-20,15
2022-02-27,12
2022-03-06,13
2022-03-13,14
2022-03-20,16
2022-03-27,16
2022-04-03,13
2022-04-10,10
