类别：所有类别

周,covid: (新加坡)
2020-01-26,0
2020-02-02,0
2020-02-09,9
2020-02-16,20
2020-02-23,33
2020-03-01,35
2020-03-08,56
2020-03-15,90
2020-03-22,100
2020-03-29,95
2020-04-05,97
2020-04-12,85
2020-04-19,66
2020-04-26,51
2020-05-03,45
2020-05-10,39
2020-05-17,38
2020-05-24,38
2020-05-31,36
2020-06-07,34
2020-06-14,31
2020-06-21,25
2020-06-28,25
2020-07-05,25
2020-07-12,28
2020-07-19,24
2020-07-26,22
2020-08-02,21
2020-08-09,20
2020-08-16,20
2020-08-23,19
2020-08-30,19
2020-09-06,18
2020-09-13,18
2020-09-20,18
2020-09-27,22
2020-10-04,21
2020-10-11,20
2020-10-18,18
2020-10-25,19
2020-11-01,16
2020-11-08,17
2020-11-15,19
2020-11-22,19
2020-11-29,19
2020-12-06,18
2020-12-13,20
2020-12-20,22
2020-12-27,20
2021-01-03,21
2021-01-10,21
2021-01-17,25
2021-01-24,23
2021-01-31,20
2021-02-07,18
2021-02-14,17
2021-02-21,17
2021-02-28,16
2021-03-07,18
2021-03-14,18
2021-03-21,19
2021-03-28,18
2021-04-04,19
2021-04-11,21
2021-04-18,27
2021-04-25,57
2021-05-02,66
2021-05-09,78
2021-05-16,97
2021-05-23,63
2021-05-30,60
2021-06-06,48
2021-06-13,48
2021-06-20,48
2021-06-27,40
2021-07-04,32
2021-07-11,59
2021-07-18,84
2021-07-25,54
2021-08-01,56
2021-08-08,42
2021-08-15,31
2021-08-22,33
2021-08-29,32
2021-09-05,61
2021-09-12,61
2021-09-19,59
2021-09-26,64
2021-10-03,60
2021-10-10,51
2021-10-17,47
2021-10-24,47
2021-10-31,36
2021-11-07,34
2021-11-14,31
2021-11-21,29
2021-11-28,28
2021-12-05,23
2021-12-12,23
2021-12-19,24
2021-12-26,23
2022-01-02,28
2022-01-09,26
2022-01-16,28
2022-01-23,35
2022-01-30,42
2022-02-06,53
2022-02-13,57
2022-02-20,58
2022-02-27,51
2022-03-06,46
2022-03-13,37
2022-03-20,32
2022-03-27,25
2022-04-03,23
2022-04-10,23
