Category: All categories

Week,COVID: (Saudi Arabia)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,5
2020-03-01,9
2020-03-08,27
2020-03-15,48
2020-03-22,77
2020-03-29,74
2020-04-05,100
2020-04-12,80
2020-04-19,73
2020-04-26,58
2020-05-03,58
2020-05-10,52
2020-05-17,53
2020-05-24,56
2020-05-31,55
2020-06-07,58
2020-06-14,53
2020-06-21,47
2020-06-28,42
2020-07-05,38
2020-07-12,36
2020-07-19,35
2020-07-26,30
2020-08-02,33
2020-08-09,28
2020-08-16,27
2020-08-23,22
2020-08-30,18
2020-09-06,16
2020-09-13,18
2020-09-20,18
2020-09-27,17
2020-10-04,16
2020-10-11,16
2020-10-18,15
2020-10-25,16
2020-11-01,13
2020-11-08,15
2020-11-15,16
2020-11-22,15
2020-11-29,13
2020-12-06,15
2020-12-13,17
2020-12-20,25
2020-12-27,17
2021-01-03,21
2021-01-10,20
2021-01-17,17
2021-01-24,16
2021-01-31,22
2021-02-07,18
2021-02-14,15
2021-02-21,17
2021-02-28,23
2021-03-07,30
2021-03-14,30
2021-03-21,28
2021-03-28,28
2021-04-04,30
2021-04-11,28
2021-04-18,39
2021-04-25,46
2021-05-02,37
2021-05-09,36
2021-05-16,41
2021-05-23,33
2021-05-30,29
2021-06-06,27
2021-06-13,26
2021-06-20,26
2021-06-27,27
2021-07-04,28
2021-07-11,30
2021-07-18,24
2021-07-25,26
2021-08-01,27
2021-08-08,21
2021-08-15,20
2021-08-22,18
2021-08-29,17
2021-09-05,14
2021-09-12,13
2021-09-19,11
2021-09-26,10
2021-10-03,12
2021-10-10,11
2021-10-17,13
2021-10-24,10
2021-10-31,9
2021-11-07,10
2021-11-14,10
2021-11-21,13
2021-11-28,17
2021-12-05,11
2021-12-12,12
2021-12-19,18
2021-12-26,24
2022-01-02,35
2022-01-09,33
2022-01-16,29
2022-01-23,21
2022-01-30,18
2022-02-06,14
2022-02-13,12
2022-02-20,9
2022-02-27,9
2022-03-06,9
2022-03-13,8
2022-03-20,7
2022-03-27,6
2022-04-03,6
2022-04-10,5
