Category: All categories

Week,COVID: (South Korea)
2020-01-26,0
2020-02-02,0
2020-02-09,5
2020-02-16,17
2020-02-23,49
2020-03-01,41
2020-03-08,48
2020-03-15,75
2020-03-22,93
2020-03-29,96
2020-04-05,81
2020-04-12,69
2020-04-19,72
2020-04-26,62
2020-05-03,61
2020-05-10,59
2020-05-17,55
2020-05-24,61
2020-05-31,58
2020-06-07,54
2020-06-14,51
2020-06-21,62
2020-06-28,59
2020-07-05,61
2020-07-12,58
2020-07-19,51
2020-07-26,60
2020-08-02,56
2020-08-09,57
2020-08-16,72
2020-08-23,70
2020-08-30,57
2020-09-06,55
2020-09-13,55
2020-09-20,49
2020-09-27,54
2020-10-04,54
2020-10-11,49
2020-10-18,48
2020-10-25,50
2020-11-01,46
2020-11-08,58
2020-11-15,66
2020-11-22,62
2020-11-29,68
2020-12-06,66
2020-12-13,72
2020-12-20,76
2020-12-27,63
2021-01-03,64
2021-01-10,61
2021-01-17,54
2021-01-24,55
2021-01-31,47
2021-02-07,45
2021-02-14,53
2021-02-21,46
2021-02-28,45
2021-03-07,47
2021-03-14,54
2021-03-21,48
2021-03-28,45
2021-04-04,54
2021-04-11,53
2021-04-18,58
2021-04-25,70
2021-05-02,62
2021-05-09,58
2021-05-16,53
2021-05-23,57
2021-05-30,62
2021-06-06,52
2021-06-13,60
2021-06-20,76
2021-06-27,60
2021-07-04,78
2021-07-11,83
2021-07-18,71
2021-07-25,82
2021-08-01,90
2021-08-08,93
2021-08-15,82
2021-08-22,76
2021-08-29,78
2021-09-05,69
2021-09-12,65
2021-09-19,68
2021-09-26,68
2021-10-03,55
2021-10-10,51
2021-10-17,53
2021-10-24,48
2021-10-31,48
2021-11-07,43
2021-11-14,45
2021-11-21,60
2021-11-28,66
2021-12-05,73
2021-12-12,100
2021-12-19,66
2021-12-26,64
2022-01-02,76
2022-01-09,65
2022-01-16,77
2022-01-23,64
2022-01-30,69
2022-02-06,75
2022-02-13,67
2022-02-20,67
2022-02-27,67
2022-03-06,69
2022-03-13,80
2022-03-20,67
2022-03-27,59
2022-04-03,55
2022-04-10,51
