Category: All categories

Week,covid: (France)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,4
2020-03-08,11
2020-03-15,32
2020-03-22,34
2020-03-29,30
2020-04-05,30
2020-04-12,29
2020-04-19,26
2020-04-26,31
2020-05-03,29
2020-05-10,26
2020-05-17,21
2020-05-24,19
2020-05-31,17
2020-06-07,14
2020-06-14,15
2020-06-21,16
2020-06-28,14
2020-07-05,16
2020-07-12,21
2020-07-19,23
2020-07-26,21
2020-08-02,20
2020-08-09,21
2020-08-16,23
2020-08-23,27
2020-08-30,28
2020-09-06,37
2020-09-13,37
2020-09-20,37
2020-09-27,28
2020-10-04,32
2020-10-11,40
2020-10-18,48
2020-10-25,100
2020-11-01,80
2020-11-08,68
2020-11-15,55
2020-11-22,56
2020-11-29,52
2020-12-06,48
2020-12-13,40
2020-12-20,34
2020-12-27,33
2021-01-03,39
2021-01-10,50
2021-01-17,47
2021-01-24,47
2021-01-31,42
2021-02-07,36
2021-02-14,34
2021-02-21,39
2021-02-28,38
2021-03-07,36
2021-03-14,47
2021-03-21,52
2021-03-28,68
2021-04-04,55
2021-04-11,53
2021-04-18,46
2021-04-25,43
2021-05-02,39
2021-05-09,40
2021-05-16,36
2021-05-23,31
2021-05-30,34
2021-06-06,28
2021-06-13,24
2021-06-20,23
2021-06-27,25
2021-07-04,34
2021-07-11,64
2021-07-18,57
2021-07-25,48
2021-08-01,45
2021-08-08,41
2021-08-15,31
2021-08-22,27
2021-08-29,23
2021-09-05,19
2021-09-12,18
2021-09-19,16
2021-09-26,15
2021-10-03,14
2021-10-10,14
2021-10-17,14
2021-10-24,14
2021-10-31,15
2021-11-07,19
2021-11-14,23
2021-11-21,41
2021-11-28,45
2021-12-05,46
2021-12-12,46
2021-12-19,50
2021-12-26,65
2022-01-02,71
2022-01-09,54
2022-01-16,58
2022-01-23,43
2022-01-30,33
2022-02-06,25
2022-02-13,20
2022-02-20,16
2022-02-27,15
2022-03-06,15
2022-03-13,17
2022-03-20,19
2022-03-27,18
2022-04-03,17
2022-04-10,16
