Category: All categories

Week,covid: (Poland)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,2
2020-03-08,9
2020-03-15,12
2020-03-22,13
2020-03-29,16
2020-04-05,14
2020-04-12,12
2020-04-19,13
2020-04-26,12
2020-05-03,11
2020-05-10,11
2020-05-17,11
2020-05-24,11
2020-05-31,10
2020-06-07,10
2020-06-14,11
2020-06-21,11
2020-06-28,11
2020-07-05,10
2020-07-12,11
2020-07-19,13
2020-07-26,20
2020-08-02,25
2020-08-09,23
2020-08-16,24
2020-08-23,24
2020-08-30,18
2020-09-06,13
2020-09-13,14
2020-09-20,18
2020-09-27,31
2020-10-04,50
2020-10-11,58
2020-10-18,75
2020-10-25,76
2020-11-01,68
2020-11-08,53
2020-11-15,43
2020-11-22,36
2020-11-29,32
2020-12-06,32
2020-12-13,39
2020-12-20,45
2020-12-27,56
2021-01-03,59
2021-01-10,61
2021-01-17,43
2021-01-24,37
2021-01-31,31
2021-02-07,29
2021-02-14,34
2021-02-21,41
2021-02-28,47
2021-03-07,56
2021-03-14,74
2021-03-21,99
2021-03-28,100
2021-04-04,87
2021-04-11,70
2021-04-18,64
2021-04-25,70
2021-05-02,65
2021-05-09,55
2021-05-16,46
2021-05-23,40
2021-05-30,43
2021-06-06,42
2021-06-13,37
2021-06-20,36
2021-06-27,42
2021-07-04,36
2021-07-11,34
2021-07-18,33
2021-07-25,31
2021-08-01,30
2021-08-08,28
2021-08-15,25
2021-08-22,22
2021-08-29,23
2021-09-05,23
2021-09-12,24
2021-09-19,24
2021-09-26,24
2021-10-03,23
2021-10-10,22
2021-10-17,33
2021-10-24,39
2021-10-31,50
2021-11-07,49
2021-11-14,65
2021-11-21,76
2021-11-28,74
2021-12-05,75
2021-12-12,74
2021-12-19,61
2021-12-26,59
2022-01-02,62
2022-01-09,58
2022-01-16,83
2022-01-23,96
2022-01-30,73
2022-02-06,52
2022-02-13,36
2022-02-20,25
2022-02-27,22
2022-03-06,19
2022-03-13,19
2022-03-20,18
2022-03-27,15
2022-04-03,12
2022-04-10,12
