Category: All categories

Week,Education: (Vietnam)
2020-01-26,89
2020-02-02,86
2020-02-09,70
2020-02-16,62
2020-02-23,57
2020-03-01,54
2020-03-08,51
2020-03-15,57
2020-03-22,55
2020-03-29,54
2020-04-05,69
2020-04-12,62
2020-04-19,58
2020-04-26,48
2020-05-03,45
2020-05-10,47
2020-05-17,49
2020-05-24,53
2020-05-31,54
2020-06-07,57
2020-06-14,52
2020-06-21,51
2020-06-28,53
2020-07-05,49
2020-07-12,43
2020-07-19,45
2020-07-26,44
2020-08-02,51
2020-08-09,47
2020-08-16,48
2020-08-23,47
2020-08-30,53
2020-09-06,49
2020-09-13,47
2020-09-20,44
2020-09-27,51
2020-10-04,45
2020-10-11,48
2020-10-18,45
2020-10-25,46
2020-11-01,44
2020-11-08,46
2020-11-15,36
2020-11-22,37
2020-11-29,41
2020-12-06,43
2020-12-13,44
2020-12-20,41
2020-12-27,34
2021-01-03,36
2021-01-10,33
2021-01-17,37
2021-01-24,34
2021-01-31,35
2021-02-07,27
2021-02-14,32
2021-02-21,44
2021-02-28,44
2021-03-07,43
2021-03-14,41
2021-03-21,41
2021-03-28,44
2021-04-04,40
2021-04-11,45
2021-04-18,43
2021-04-25,41
2021-05-02,42
2021-05-09,43
2021-05-16,45
2021-05-23,41
2021-05-30,39
2021-06-06,41
2021-06-13,37
2021-06-20,46
2021-06-27,41
2021-07-04,38
2021-07-11,41
2021-07-18,44
2021-07-25,43
2021-08-01,40
2021-08-08,43
2021-08-15,41
2021-08-22,43
2021-08-29,43
2021-09-05,47
2021-09-12,69
2021-09-19,100
2021-09-26,71
2021-10-03,62
2021-10-10,55
2021-10-17,57
2021-10-24,57
2021-10-31,58
2021-11-07,58
2021-11-14,56
2021-11-21,56
2021-11-28,52
2021-12-05,52
2021-12-12,48
2021-12-19,50
2021-12-26,53
2022-01-02,70
2022-01-09,63
2022-01-16,62
2022-01-23,59
2022-01-30,44
2022-02-06,57
2022-02-13,64
2022-02-20,63
2022-02-27,66
2022-03-06,70
2022-03-13,88
2022-03-20,59
2022-03-27,76
2022-04-03,72
2022-04-10,66
