Category: All categories

Week,Education: (United Arab Emirates)
2020-01-26,89
2020-02-02,91
2020-02-09,83
2020-02-16,83
2020-02-23,88
2020-03-01,100
2020-03-08,75
2020-03-15,69
2020-03-22,78
2020-03-29,84
2020-04-05,70
2020-04-12,70
2020-04-19,72
2020-04-26,74
2020-05-03,69
2020-05-10,74
2020-05-17,73
2020-05-24,67
2020-05-31,78
2020-06-07,85
2020-06-14,73
2020-06-21,76
2020-06-28,70
2020-07-05,70
2020-07-12,73
2020-07-19,67
2020-07-26,73
2020-08-02,63
2020-08-09,68
2020-08-16,64
2020-08-23,80
2020-08-30,85
2020-09-06,86
2020-09-13,86
2020-09-20,78
2020-09-27,77
2020-10-04,76
2020-10-11,69
2020-10-18,70
2020-10-25,67
2020-11-01,67
2020-11-08,67
2020-11-15,70
2020-11-22,72
2020-11-29,54
2020-12-06,73
2020-12-13,56
2020-12-20,46
2020-12-27,51
2021-01-03,69
2021-01-10,68
2021-01-17,75
2021-01-24,66
2021-01-31,66
2021-02-07,68
2021-02-14,63
2021-02-21,67
2021-02-28,67
2021-03-07,74
2021-03-14,62
2021-03-21,59
2021-03-28,52
2021-04-04,55
2021-04-11,58
2021-04-18,68
2021-04-25,56
2021-05-02,56
2021-05-09,49
2021-05-16,80
2021-05-23,74
2021-05-30,75
2021-06-06,70
2021-06-13,64
2021-06-20,60
2021-06-27,55
2021-07-04,52
2021-07-11,50
2021-07-18,43
2021-07-25,52
2021-08-01,50
2021-08-08,46
2021-08-15,60
2021-08-22,59
2021-08-29,64
2021-09-05,81
2021-09-12,89
2021-09-19,90
2021-09-26,80
2021-10-03,71
2021-10-10,73
2021-10-17,64
2021-10-24,63
2021-10-31,59
2021-11-07,65
2021-11-14,66
2021-11-21,66
2021-11-28,49
2021-12-05,56
2021-12-12,48
2021-12-19,41
2021-12-26,42
2022-01-02,56
2022-01-09,58
2022-01-16,64
2022-01-23,65
2022-01-30,64
2022-02-06,62
2022-02-13,62
2022-02-20,68
2022-02-27,57
2022-03-06,57
2022-03-13,64
2022-03-20,59
2022-03-27,48
2022-04-03,50
2022-04-10,55
