Category: All categories

Week,Education: (Switzerland)
2020-01-26,66
2020-02-02,55
2020-02-09,44
2020-02-16,43
2020-02-23,34
2020-03-01,38
2020-03-08,33
2020-03-15,33
2020-03-22,37
2020-03-29,34
2020-04-05,26
2020-04-12,26
2020-04-19,29
2020-04-26,30
2020-05-03,27
2020-05-10,27
2020-05-17,25
2020-05-24,28
2020-05-31,32
2020-06-07,29
2020-06-14,25
2020-06-21,26
2020-06-28,22
2020-07-05,21
2020-07-12,19
2020-07-19,19
2020-07-26,22
2020-08-02,23
2020-08-09,23
2020-08-16,25
2020-08-23,28
2020-08-30,27
2020-09-06,29
2020-09-13,31
2020-09-20,27
2020-09-27,30
2020-10-04,23
2020-10-11,24
2020-10-18,25
2020-10-25,21
2020-11-01,25
2020-11-08,25
2020-11-15,23
2020-11-22,28
2020-11-29,25
2020-12-06,23
2020-12-13,18
2020-12-20,19
2020-12-27,20
2021-01-03,28
2021-01-10,23
2021-01-17,30
2021-01-24,32
2021-01-31,23
2021-02-07,31
2021-02-14,23
2021-02-21,23
2021-02-28,21
2021-03-07,29
2021-03-14,23
2021-03-21,23
2021-03-28,20
2021-04-04,20
2021-04-11,24
2021-04-18,27
2021-04-25,21
2021-05-02,23
2021-05-09,20
2021-05-16,22
2021-05-23,23
2021-05-30,23
2021-06-06,24
2021-06-13,20
2021-06-20,18
2021-06-27,20
2021-07-04,15
2021-07-11,21
2021-07-18,20
2021-07-25,23
2021-08-01,19
2021-08-08,21
2021-08-15,29
2021-08-22,26
2021-08-29,28
2021-09-05,29
2021-09-12,60
2021-09-19,100
2021-09-26,70
2021-10-03,50
2021-10-10,50
2021-10-17,42
2021-10-24,34
2021-10-31,33
2021-11-07,30
2021-11-14,30
2021-11-21,24
2021-11-28,24
2021-12-05,25
2021-12-12,24
2021-12-19,19
2021-12-26,17
2022-01-02,26
2022-01-09,26
2022-01-16,27
2022-01-23,28
2022-01-30,29
2022-02-06,23
2022-02-13,25
2022-02-20,24
2022-02-27,24
2022-03-06,28
2022-03-13,25
2022-03-20,26
2022-03-27,29
2022-04-03,25
2022-04-10,23
