Category: All categories

Week,Education: (Cuba)
2020-01-26,14
2020-02-02,36
2020-02-09,56
2020-02-16,18
2020-02-23,31
2020-03-01,30
2020-03-08,21
2020-03-15,21
2020-03-22,22
2020-03-29,31
2020-04-05,22
2020-04-12,55
2020-04-19,31
2020-04-26,18
2020-05-03,28
2020-05-10,21
2020-05-17,44
2020-05-24,43
2020-05-31,23
2020-06-07,39
2020-06-14,9
2020-06-21,13
2020-06-28,13
2020-07-05,9
2020-07-12,13
2020-07-19,18
2020-07-26,21
2020-08-02,12
2020-08-09,4
2020-08-16,28
2020-08-23,8
2020-08-30,26
2020-09-06,25
2020-09-13,16
2020-09-20,17
2020-09-27,8
2020-10-04,21
2020-10-11,13
2020-10-18,22
2020-10-25,24
2020-11-01,14
2020-11-08,12
2020-11-15,8
2020-11-22,8
2020-11-29,28
2020-12-06,11
2020-12-13,6
2020-12-20,18
2020-12-27,8
2021-01-03,16
2021-01-10,20
2021-01-17,10
2021-01-24,22
2021-01-31,22
2021-02-07,9
2021-02-14,12
2021-02-21,25
2021-02-28,18
2021-03-07,23
2021-03-14,16
2021-03-21,15
2021-03-28,18
2021-04-04,14
2021-04-11,18
2021-04-18,31
2021-04-25,9
2021-05-02,30
2021-05-09,21
2021-05-16,27
2021-05-23,24
2021-05-30,18
2021-06-06,15
2021-06-13,9
2021-06-20,12
2021-06-27,22
2021-07-04,22
2021-07-11,17
2021-07-18,24
2021-07-25,17
2021-08-01,17
2021-08-08,32
2021-08-15,13
2021-08-22,23
2021-08-29,23
2021-09-05,11
2021-09-12,39
2021-09-19,98
2021-09-26,100
2021-10-03,55
2021-10-10,41
2021-10-17,44
2021-10-24,25
2021-10-31,24
2021-11-07,21
2021-11-14,13
2021-11-21,15
2021-11-28,25
2021-12-05,17
2021-12-12,12
2021-12-19,3
2021-12-26,14
2022-01-02,22
2022-01-09,19
2022-01-16,21
2022-01-23,9
2022-01-30,11
2022-02-06,12
2022-02-13,20
2022-02-20,9
2022-02-27,13
2022-03-06,13
2022-03-13,19
2022-03-20,9
2022-03-27,0
2022-04-03,6
2022-04-10,14
