Category: All categories

Week,Education: (Iran)
2020-01-26,71
2020-02-02,52
2020-02-09,56
2020-02-16,45
2020-02-23,52
2020-03-01,54
2020-03-08,73
2020-03-15,67
2020-03-22,96
2020-03-29,72
2020-04-05,55
2020-04-12,60
2020-04-19,46
2020-04-26,40
2020-05-03,40
2020-05-10,34
2020-05-17,41
2020-05-24,35
2020-05-31,37
2020-06-07,38
2020-06-14,34
2020-06-21,35
2020-06-28,36
2020-07-05,42
2020-07-12,40
2020-07-19,33
2020-07-26,35
2020-08-02,34
2020-08-09,33
2020-08-16,33
2020-08-23,31
2020-08-30,33
2020-09-06,32
2020-09-13,29
2020-09-20,29
2020-09-27,26
2020-10-04,28
2020-10-11,34
2020-10-18,33
2020-10-25,33
2020-11-01,28
2020-11-08,30
2020-11-15,28
2020-11-22,31
2020-11-29,33
2020-12-06,27
2020-12-13,29
2020-12-20,30
2020-12-27,31
2021-01-03,24
2021-01-10,28
2021-01-17,38
2021-01-24,25
2021-01-31,26
2021-02-07,23
2021-02-14,24
2021-02-21,20
2021-02-28,23
2021-03-07,24
2021-03-14,22
2021-03-21,31
2021-03-28,30
2021-04-04,26
2021-04-11,28
2021-04-18,27
2021-04-25,25
2021-05-02,25
2021-05-09,29
2021-05-16,23
2021-05-23,25
2021-05-30,27
2021-06-06,29
2021-06-13,27
2021-06-20,33
2021-06-27,37
2021-07-04,36
2021-07-11,31
2021-07-18,31
2021-07-25,27
2021-08-01,31
2021-08-08,25
2021-08-15,41
2021-08-22,37
2021-08-29,29
2021-09-05,31
2021-09-12,81
2021-09-19,100
2021-09-26,60
2021-10-03,44
2021-10-10,37
2021-10-17,36
2021-10-24,32
2021-10-31,35
2021-11-07,33
2021-11-14,30
2021-11-21,29
2021-11-28,30
2021-12-05,26
2021-12-12,22
2021-12-19,23
2021-12-26,18
2022-01-02,24
2022-01-09,24
2022-01-16,22
2022-01-23,25
2022-01-30,22
2022-02-06,24
2022-02-13,22
2022-02-20,20
2022-02-27,19
2022-03-06,21
2022-03-13,19
2022-03-20,24
2022-03-27,22
2022-04-03,24
2022-04-10,25
