Category: All categories

Week,Education: (United Kingdom)
2020-01-26,58
2020-02-02,48
2020-02-09,44
2020-02-16,33
2020-02-23,37
2020-03-01,37
2020-03-08,35
2020-03-15,46
2020-03-22,40
2020-03-29,34
2020-04-05,21
2020-04-12,24
2020-04-19,36
2020-04-26,35
2020-05-03,32
2020-05-10,35
2020-05-17,29
2020-05-24,23
2020-05-31,31
2020-06-07,31
2020-06-14,31
2020-06-21,27
2020-06-28,30
2020-07-05,28
2020-07-12,25
2020-07-19,20
2020-07-26,19
2020-08-02,20
2020-08-09,22
2020-08-16,23
2020-08-23,23
2020-08-30,28
2020-09-06,30
2020-09-13,30
2020-09-20,28
2020-09-27,30
2020-10-04,31
2020-10-11,30
2020-10-18,24
2020-10-25,20
2020-11-01,27
2020-11-08,27
2020-11-15,26
2020-11-22,23
2020-11-29,24
2020-12-06,23
2020-12-13,21
2020-12-20,14
2020-12-27,21
2021-01-03,40
2021-01-10,37
2021-01-17,38
2021-01-24,30
2021-01-31,27
2021-02-07,26
2021-02-14,21
2021-02-21,27
2021-02-28,25
2021-03-07,24
2021-03-14,24
2021-03-21,24
2021-03-28,19
2021-04-04,17
2021-04-11,19
2021-04-18,22
2021-04-25,25
2021-05-02,22
2021-05-09,23
2021-05-16,23
2021-05-23,21
2021-05-30,17
2021-06-06,22
2021-06-13,21
2021-06-20,22
2021-06-27,20
2021-07-04,20
2021-07-11,19
2021-07-18,17
2021-07-25,16
2021-08-01,16
2021-08-08,17
2021-08-15,18
2021-08-22,19
2021-08-29,22
2021-09-05,27
2021-09-12,67
2021-09-19,100
2021-09-26,61
2021-10-03,46
2021-10-10,37
2021-10-17,31
2021-10-24,24
2021-10-31,26
2021-11-07,27
2021-11-14,25
2021-11-21,23
2021-11-28,23
2021-12-05,23
2021-12-12,21
2021-12-19,15
2021-12-26,14
2022-01-02,23
2022-01-09,28
2022-01-16,26
2022-01-23,26
2022-01-30,25
2022-02-06,25
2022-02-13,21
2022-02-20,22
2022-02-27,24
2022-03-06,25
2022-03-13,25
2022-03-20,24
2022-03-27,25
2022-04-03,22
2022-04-10,18
