Category: All categories

Week,Education: (Thailand)
2020-01-26,81
2020-02-02,61
2020-02-09,53
2020-02-16,45
2020-02-23,47
2020-03-01,46
2020-03-08,41
2020-03-15,47
2020-03-22,39
2020-03-29,40
2020-04-05,38
2020-04-12,36
2020-04-19,43
2020-04-26,39
2020-05-03,35
2020-05-10,40
2020-05-17,38
2020-05-24,38
2020-05-31,36
2020-06-07,32
2020-06-14,35
2020-06-21,38
2020-06-28,36
2020-07-05,37
2020-07-12,37
2020-07-19,39
2020-07-26,28
2020-08-02,36
2020-08-09,35
2020-08-16,38
2020-08-23,42
2020-08-30,42
2020-09-06,37
2020-09-13,34
2020-09-20,37
2020-09-27,37
2020-10-04,35
2020-10-11,26
2020-10-18,28
2020-10-25,27
2020-11-01,30
2020-11-08,23
2020-11-15,24
2020-11-22,26
2020-11-29,25
2020-12-06,22
2020-12-13,24
2020-12-20,26
2020-12-27,19
2021-01-03,28
2021-01-10,26
2021-01-17,25
2021-01-24,32
2021-01-31,24
2021-02-07,25
2021-02-14,28
2021-02-21,25
2021-02-28,33
2021-03-07,29
2021-03-14,27
2021-03-21,27
2021-03-28,22
2021-04-04,27
2021-04-11,20
2021-04-18,27
2021-04-25,26
2021-05-02,29
2021-05-09,30
2021-05-16,29
2021-05-23,30
2021-05-30,29
2021-06-06,31
2021-06-13,31
2021-06-20,35
2021-06-27,32
2021-07-04,37
2021-07-11,29
2021-07-18,35
2021-07-25,33
2021-08-01,34
2021-08-08,33
2021-08-15,36
2021-08-22,37
2021-08-29,34
2021-09-05,42
2021-09-12,65
2021-09-19,100
2021-09-26,57
2021-10-03,48
2021-10-10,34
2021-10-17,34
2021-10-24,34
2021-10-31,33
2021-11-07,37
2021-11-14,32
2021-11-21,37
2021-11-28,34
2021-12-05,24
2021-12-12,24
2021-12-19,22
2021-12-26,24
2022-01-02,31
2022-01-09,35
2022-01-16,31
2022-01-23,40
2022-01-30,32
2022-02-06,32
2022-02-13,29
2022-02-20,27
2022-02-27,26
2022-03-06,33
2022-03-13,28
2022-03-20,33
2022-03-27,27
2022-04-03,25
2022-04-10,24
