Category: All categories

Week,Education: (Hong Kong)
2020-01-26,95
2020-02-02,78
2020-02-09,81
2020-02-16,78
2020-02-23,80
2020-03-01,73
2020-03-08,70
2020-03-15,77
2020-03-22,77
2020-03-29,68
2020-04-05,76
2020-04-12,70
2020-04-19,72
2020-04-26,77
2020-05-03,75
2020-05-10,77
2020-05-17,92
2020-05-24,77
2020-05-31,79
2020-06-07,83
2020-06-14,80
2020-06-21,70
2020-06-28,76
2020-07-05,87
2020-07-12,81
2020-07-19,80
2020-07-26,77
2020-08-02,72
2020-08-09,74
2020-08-16,74
2020-08-23,86
2020-08-30,86
2020-09-06,81
2020-09-13,85
2020-09-20,75
2020-09-27,70
2020-10-04,84
2020-10-11,74
2020-10-18,79
2020-10-25,67
2020-11-01,63
2020-11-08,76
2020-11-15,70
2020-11-22,71
2020-11-29,74
2020-12-06,68
2020-12-13,60
2020-12-20,43
2020-12-27,50
2021-01-03,59
2021-01-10,52
2021-01-17,65
2021-01-24,57
2021-01-31,58
2021-02-07,53
2021-02-14,56
2021-02-21,62
2021-02-28,60
2021-03-07,68
2021-03-14,55
2021-03-21,61
2021-03-28,66
2021-04-04,59
2021-04-11,64
2021-04-18,68
2021-04-25,64
2021-05-02,65
2021-05-09,66
2021-05-16,60
2021-05-23,61
2021-05-30,67
2021-06-06,64
2021-06-13,60
2021-06-20,64
2021-06-27,66
2021-07-04,68
2021-07-11,69
2021-07-18,66
2021-07-25,67
2021-08-01,61
2021-08-08,61
2021-08-15,65
2021-08-22,65
2021-08-29,65
2021-09-05,71
2021-09-12,91
2021-09-19,100
2021-09-26,75
2021-10-03,85
2021-10-10,84
2021-10-17,84
2021-10-24,77
2021-10-31,68
2021-11-07,76
2021-11-14,64
2021-11-21,74
2021-11-28,75
2021-12-05,60
2021-12-12,64
2021-12-19,45
2021-12-26,51
2022-01-02,67
2022-01-09,68
2022-01-16,64
2022-01-23,50
2022-01-30,47
2022-02-06,51
2022-02-13,55
2022-02-20,49
2022-02-27,50
2022-03-06,54
2022-03-13,55
2022-03-20,51
2022-03-27,56
2022-04-03,53
2022-04-10,58
