Category: All categories

Week,Education: (Australia)
2020-01-26,65
2020-02-02,68
2020-02-09,69
2020-02-16,69
2020-02-23,69
2020-03-01,64
2020-03-08,65
2020-03-15,79
2020-03-22,100
2020-03-29,82
2020-04-05,59
2020-04-12,59
2020-04-19,65
2020-04-26,81
2020-05-03,73
2020-05-10,70
2020-05-17,72
2020-05-24,62
2020-05-31,61
2020-06-07,59
2020-06-14,60
2020-06-21,59
2020-06-28,51
2020-07-05,41
2020-07-12,46
2020-07-19,58
2020-07-26,60
2020-08-02,61
2020-08-09,61
2020-08-16,58
2020-08-23,59
2020-08-30,60
2020-09-06,60
2020-09-13,58
2020-09-20,50
2020-09-27,39
2020-10-04,43
2020-10-11,53
2020-10-18,51
2020-10-25,48
2020-11-01,43
2020-11-08,49
2020-11-15,47
2020-11-22,45
2020-11-29,43
2020-12-06,43
2020-12-13,38
2020-12-20,22
2020-12-27,22
2021-01-03,33
2021-01-10,38
2021-01-17,45
2021-01-24,47
2021-01-31,56
2021-02-07,55
2021-02-14,54
2021-02-21,54
2021-02-28,55
2021-03-07,52
2021-03-14,51
2021-03-21,54
2021-03-28,45
2021-04-04,32
2021-04-11,37
2021-04-18,49
2021-04-25,48
2021-05-02,51
2021-05-09,52
2021-05-16,52
2021-05-23,54
2021-05-30,55
2021-06-06,48
2021-06-13,48
2021-06-20,50
2021-06-27,40
2021-07-04,39
2021-07-11,46
2021-07-18,51
2021-07-25,48
2021-08-01,50
2021-08-08,50
2021-08-15,51
2021-08-22,48
2021-08-29,48
2021-09-05,51
2021-09-12,68
2021-09-19,81
2021-09-26,60
2021-10-03,56
2021-10-10,56
2021-10-17,53
2021-10-24,53
2021-10-31,52
2021-11-07,53
2021-11-14,50
2021-11-21,46
2021-11-28,48
2021-12-05,46
2021-12-12,39
2021-12-19,24
2021-12-26,20
2022-01-02,29
2022-01-09,37
2022-01-16,41
2022-01-23,44
2022-01-30,55
2022-02-06,57
2022-02-13,58
2022-02-20,56
2022-02-27,56
2022-03-06,55
2022-03-13,52
2022-03-20,53
2022-03-27,53
2022-04-03,47
2022-04-10,33
