Category: All categories

Week,Education: (Italy)
2020-01-26,56
2020-02-02,34
2020-02-09,28
2020-02-16,24
2020-02-23,23
2020-03-01,31
2020-03-08,53
2020-03-15,45
2020-03-22,45
2020-03-29,44
2020-04-05,37
2020-04-12,39
2020-04-19,39
2020-04-26,32
2020-05-03,33
2020-05-10,28
2020-05-17,26
2020-05-24,23
2020-05-31,18
2020-06-07,16
2020-06-14,13
2020-06-21,12
2020-06-28,10
2020-07-05,10
2020-07-12,11
2020-07-19,10
2020-07-26,9
2020-08-02,9
2020-08-09,9
2020-08-16,10
2020-08-23,11
2020-08-30,14
2020-09-06,17
2020-09-13,16
2020-09-20,19
2020-09-27,19
2020-10-04,18
2020-10-11,21
2020-10-18,19
2020-10-25,21
2020-11-01,18
2020-11-08,21
2020-11-15,20
2020-11-22,16
2020-11-29,16
2020-12-06,15
2020-12-13,14
2020-12-20,12
2020-12-27,11
2021-01-03,17
2021-01-10,17
2021-01-17,17
2021-01-24,16
2021-01-31,15
2021-02-07,15
2021-02-14,14
2021-02-21,14
2021-02-28,15
2021-03-07,15
2021-03-14,16
2021-03-21,16
2021-03-28,14
2021-04-04,15
2021-04-11,16
2021-04-18,14
2021-04-25,13
2021-05-02,12
2021-05-09,12
2021-05-16,10
2021-05-23,11
2021-05-30,10
2021-06-06,9
2021-06-13,9
2021-06-20,11
2021-06-27,9
2021-07-04,8
2021-07-11,8
2021-07-18,9
2021-07-25,9
2021-08-01,7
2021-08-08,8
2021-08-15,8
2021-08-22,12
2021-08-29,14
2021-09-05,19
2021-09-12,61
2021-09-19,100
2021-09-26,56
2021-10-03,35
2021-10-10,27
2021-10-17,23
2021-10-24,18
2021-10-31,18
2021-11-07,17
2021-11-14,17
2021-11-21,15
2021-11-28,14
2021-12-05,14
2021-12-12,14
2021-12-19,11
2021-12-26,12
2022-01-02,15
2022-01-09,15
2022-01-16,15
2022-01-23,17
2022-01-30,12
2022-02-06,13
2022-02-13,15
2022-02-20,13
2022-02-27,13
2022-03-06,13
2022-03-13,13
2022-03-20,16
2022-03-27,15
2022-04-03,14
2022-04-10,13
