Category: All categories

Week,Education: (Canada)
2020-01-26,90
2020-02-02,88
2020-02-09,80
2020-02-16,75
2020-02-23,79
2020-03-01,76
2020-03-08,72
2020-03-15,72
2020-03-22,67
2020-03-29,73
2020-04-05,63
2020-04-12,59
2020-04-19,61
2020-04-26,72
2020-05-03,68
2020-05-10,67
2020-05-17,63
2020-05-24,60
2020-05-31,63
2020-06-07,63
2020-06-14,65
2020-06-21,62
2020-06-28,53
2020-07-05,56
2020-07-12,57
2020-07-19,59
2020-07-26,65
2020-08-02,59
2020-08-09,64
2020-08-16,64
2020-08-23,65
2020-08-30,70
2020-09-06,66
2020-09-13,72
2020-09-20,72
2020-09-27,68
2020-10-04,66
2020-10-11,59
2020-10-18,62
2020-10-25,57
2020-11-01,54
2020-11-08,59
2020-11-15,59
2020-11-22,58
2020-11-29,62
2020-12-06,57
2020-12-13,54
2020-12-20,34
2020-12-27,37
2021-01-03,63
2021-01-10,65
2021-01-17,67
2021-01-24,60
2021-01-31,65
2021-02-07,57
2021-02-14,58
2021-02-21,61
2021-02-28,58
2021-03-07,58
2021-03-14,55
2021-03-21,55
2021-03-28,56
2021-04-04,55
2021-04-11,54
2021-04-18,58
2021-04-25,55
2021-05-02,57
2021-05-09,56
2021-05-16,51
2021-05-23,52
2021-05-30,52
2021-06-06,50
2021-06-13,52
2021-06-20,48
2021-06-27,38
2021-07-04,45
2021-07-11,40
2021-07-18,41
2021-07-25,41
2021-08-01,39
2021-08-08,42
2021-08-15,47
2021-08-22,50
2021-08-29,55
2021-09-05,60
2021-09-12,76
2021-09-19,100
2021-09-26,81
2021-10-03,71
2021-10-10,67
2021-10-17,67
2021-10-24,60
2021-10-31,62
2021-11-07,60
2021-11-14,61
2021-11-21,59
2021-11-28,61
2021-12-05,57
2021-12-12,52
2021-12-19,33
2021-12-26,35
2022-01-02,57
2022-01-09,61
2022-01-16,60
2022-01-23,62
2022-01-30,61
2022-02-06,59
2022-02-13,56
2022-02-20,53
2022-02-27,56
2022-03-06,57
2022-03-13,51
2022-03-20,54
2022-03-27,52
2022-04-03,57
2022-04-10,50
