Category: All categories

Week,Education: (Singapore)
2020-01-26,66
2020-02-02,66
2020-02-09,62
2020-02-16,65
2020-02-23,59
2020-03-01,65
2020-03-08,56
2020-03-15,53
2020-03-22,56
2020-03-29,63
2020-04-05,57
2020-04-12,52
2020-04-19,61
2020-04-26,62
2020-05-03,59
2020-05-10,60
2020-05-17,62
2020-05-24,59
2020-05-31,61
2020-06-07,63
2020-06-14,60
2020-06-21,62
2020-06-28,67
2020-07-05,74
2020-07-12,73
2020-07-19,60
2020-07-26,61
2020-08-02,63
2020-08-09,59
2020-08-16,64
2020-08-23,59
2020-08-30,60
2020-09-06,61
2020-09-13,59
2020-09-20,61
2020-09-27,56
2020-10-04,52
2020-10-11,54
2020-10-18,48
2020-10-25,53
2020-11-01,47
2020-11-08,51
2020-11-15,49
2020-11-22,51
2020-11-29,43
2020-12-06,45
2020-12-13,44
2020-12-20,38
2020-12-27,38
2021-01-03,52
2021-01-10,55
2021-01-17,49
2021-01-24,58
2021-01-31,45
2021-02-07,46
2021-02-14,55
2021-02-21,51
2021-02-28,52
2021-03-07,53
2021-03-14,55
2021-03-21,55
2021-03-28,51
2021-04-04,57
2021-04-11,50
2021-04-18,60
2021-04-25,55
2021-05-02,50
2021-05-09,54
2021-05-16,54
2021-05-23,52
2021-05-30,58
2021-06-06,62
2021-06-13,54
2021-06-20,50
2021-06-27,58
2021-07-04,55
2021-07-11,60
2021-07-18,71
2021-07-25,76
2021-08-01,60
2021-08-08,53
2021-08-15,62
2021-08-22,55
2021-08-29,61
2021-09-05,52
2021-09-12,78
2021-09-19,100
2021-09-26,76
2021-10-03,64
2021-10-10,56
2021-10-17,69
2021-10-24,64
2021-10-31,51
2021-11-07,52
2021-11-14,52
2021-11-21,50
2021-11-28,50
2021-12-05,43
2021-12-12,48
2021-12-19,46
2021-12-26,37
2022-01-02,53
2022-01-09,59
2022-01-16,57
2022-01-23,50
2022-01-30,37
2022-02-06,55
2022-02-13,55
2022-02-20,53
2022-02-27,51
2022-03-06,57
2022-03-13,54
2022-03-20,51
2022-03-27,49
2022-04-03,50
2022-04-10,51
