Week,Flight tracking: (Turkey)
2020-01-26,47
2020-02-02,73
2020-02-09,81
2020-02-16,50
2020-02-23,54
2020-03-01,36
2020-03-08,54
2020-03-15,41
2020-03-22,15
2020-03-29,12
2020-04-05,7
2020-04-12,8
2020-04-19,18
2020-04-26,6
2020-05-03,6
2020-05-10,4
2020-05-17,9
2020-05-24,6
2020-05-31,10
2020-06-07,16
2020-06-14,15
2020-06-21,18
2020-06-28,27
2020-07-05,18
2020-07-12,22
2020-07-19,22
2020-07-26,17
2020-08-02,35
2020-08-09,23
2020-08-16,33
2020-08-23,24
2020-08-30,30
2020-09-06,21
2020-09-13,17
2020-09-20,27
2020-09-27,27
2020-10-04,24
2020-10-11,16
2020-10-18,15
2020-10-25,16
2020-11-01,14
2020-11-08,12
2020-11-15,18
2020-11-22,10
2020-11-29,14
2020-12-06,9
2020-12-13,13
2020-12-20,11
2020-12-27,11
2021-01-03,16
2021-01-10,17
2021-01-17,35
2021-01-24,30
2021-01-31,28
2021-02-07,15
2021-02-14,33
2021-02-21,17
2021-02-28,21
2021-03-07,21
2021-03-14,20
2021-03-21,31
2021-03-28,15
2021-04-04,26
2021-04-11,15
2021-04-18,17
2021-04-25,12
2021-05-02,11
2021-05-09,10
2021-05-16,26
2021-05-23,21
2021-05-30,22
2021-06-06,23
2021-06-13,35
2021-06-20,28
2021-06-27,45
2021-07-04,45
2021-07-11,52
2021-07-18,73
2021-07-25,58
2021-08-01,61
2021-08-08,49
2021-08-15,47
2021-08-22,51
2021-08-29,42
2021-09-05,41
2021-09-12,30
2021-09-19,44
2021-09-26,44
2021-10-03,42
2021-10-10,32
2021-10-17,36
2021-10-24,32
2021-10-31,42
2021-11-07,34
2021-11-14,26
2021-11-21,23
2021-11-28,47
2021-12-05,21
2021-12-12,38
2021-12-19,36
2021-12-26,31
2022-01-02,30
2022-01-09,37
2022-01-16,56
2022-01-23,100
2022-01-30,46
2022-02-06,43
2022-02-13,32
2022-02-20,46
2022-02-27,34
2022-03-06,63
2022-03-13,68
2022-03-20,43
2022-03-27,41
2022-04-03,35
2022-04-10,37
