Category: All categories

Week,flight: (Australia)
2020-01-26,79
2020-02-02,74
2020-02-09,78
2020-02-16,73
2020-02-23,77
2020-03-01,73
2020-03-08,89
2020-03-15,100
2020-03-22,52
2020-03-29,30
2020-04-05,32
2020-04-12,31
2020-04-19,29
2020-04-26,28
2020-05-03,27
2020-05-10,27
2020-05-17,27
2020-05-24,29
2020-05-31,30
2020-06-07,31
2020-06-14,31
2020-06-21,28
2020-06-28,30
2020-07-05,32
2020-07-12,28
2020-07-19,30
2020-07-26,27
2020-08-02,27
2020-08-09,27
2020-08-16,35
2020-08-23,30
2020-08-30,27
2020-09-06,24
2020-09-13,27
2020-09-20,25
2020-09-27,28
2020-10-04,26
2020-10-11,25
2020-10-18,25
2020-10-25,25
2020-11-01,25
2020-11-08,27
2020-11-15,29
2020-11-22,36
2020-11-29,38
2020-12-06,38
2020-12-13,40
2020-12-20,35
2020-12-27,34
2021-01-03,33
2021-01-10,31
2021-01-17,29
2021-01-24,29
2021-01-31,32
2021-02-07,29
2021-02-14,26
2021-02-21,32
2021-02-28,34
2021-03-07,37
2021-03-14,34
2021-03-21,36
2021-03-28,41
2021-04-04,37
2021-04-11,36
2021-04-18,37
2021-04-25,34
2021-05-02,35
2021-05-09,34
2021-05-16,34
2021-05-23,34
2021-05-30,32
2021-06-06,30
2021-06-13,32
2021-06-20,35
2021-06-27,30
2021-07-04,29
2021-07-11,30
2021-07-18,27
2021-07-25,27
2021-08-01,24
2021-08-08,22
2021-08-15,23
2021-08-22,24
2021-08-29,23
2021-09-05,27
2021-09-12,28
2021-09-19,28
2021-09-26,30
2021-10-03,33
2021-10-10,32
2021-10-17,35
2021-10-24,36
2021-10-31,38
2021-11-07,37
2021-11-14,39
2021-11-21,39
2021-11-28,38
2021-12-05,37
2021-12-12,42
2021-12-19,45
2021-12-26,41
2022-01-02,39
2022-01-09,38
2022-01-16,40
2022-01-23,38
2022-01-30,43
2022-02-06,45
2022-02-13,47
2022-02-20,56
2022-02-27,50
2022-03-06,50
2022-03-13,54
2022-03-20,58
2022-03-27,57
2022-04-03,70
2022-04-10,67
