Category: All categories

Week,flight: (Israel)
2020-01-26,68
2020-02-02,80
2020-02-09,81
2020-02-16,77
2020-02-23,70
2020-03-01,79
2020-03-08,96
2020-03-15,65
2020-03-22,47
2020-03-29,38
2020-04-05,40
2020-04-12,35
2020-04-19,30
2020-04-26,35
2020-05-03,33
2020-05-10,34
2020-05-17,36
2020-05-24,32
2020-05-31,29
2020-06-07,36
2020-06-14,35
2020-06-21,34
2020-06-28,30
2020-07-05,34
2020-07-12,34
2020-07-19,28
2020-07-26,40
2020-08-02,34
2020-08-09,38
2020-08-16,71
2020-08-23,57
2020-08-30,64
2020-09-06,38
2020-09-13,46
2020-09-20,38
2020-09-27,47
2020-10-04,41
2020-10-11,32
2020-10-18,44
2020-10-25,38
2020-11-01,32
2020-11-08,30
2020-11-15,32
2020-11-22,40
2020-11-29,37
2020-12-06,36
2020-12-13,36
2020-12-20,29
2020-12-27,33
2021-01-03,35
2021-01-10,28
2021-01-17,26
2021-01-24,30
2021-01-31,33
2021-02-07,32
2021-02-14,31
2021-02-21,29
2021-02-28,39
2021-03-07,45
2021-03-14,45
2021-03-21,39
2021-03-28,39
2021-04-04,47
2021-04-11,45
2021-04-18,41
2021-04-25,45
2021-05-02,42
2021-05-09,51
2021-05-16,57
2021-05-23,51
2021-05-30,51
2021-06-06,57
2021-06-13,61
2021-06-20,61
2021-06-27,63
2021-07-04,53
2021-07-11,71
2021-07-18,60
2021-07-25,58
2021-08-01,64
2021-08-08,49
2021-08-15,52
2021-08-22,56
2021-08-29,59
2021-09-05,67
2021-09-12,62
2021-09-19,71
2021-09-26,70
2021-10-03,66
2021-10-10,66
2021-10-17,56
2021-10-24,66
2021-10-31,64
2021-11-07,56
2021-11-14,65
2021-11-21,69
2021-11-28,56
2021-12-05,58
2021-12-12,54
2021-12-19,49
2021-12-26,45
2022-01-02,39
2022-01-09,48
2022-01-16,48
2022-01-23,60
2022-01-30,63
2022-02-06,64
2022-02-13,69
2022-02-20,76
2022-02-27,76
2022-03-06,83
2022-03-13,72
2022-03-20,87
2022-03-27,78
2022-04-03,83
2022-04-10,100
