Category: All categories

Week,flight: (Thailand)
2020-01-26,84
2020-02-02,87
2020-02-09,77
2020-02-16,70
2020-02-23,72
2020-03-01,60
2020-03-08,76
2020-03-15,100
2020-03-22,68
2020-03-29,39
2020-04-05,33
2020-04-12,25
2020-04-19,24
2020-04-26,26
2020-05-03,24
2020-05-10,27
2020-05-17,28
2020-05-24,26
2020-05-31,27
2020-06-07,26
2020-06-14,30
2020-06-21,31
2020-06-28,29
2020-07-05,36
2020-07-12,30
2020-07-19,30
2020-07-26,27
2020-08-02,34
2020-08-09,33
2020-08-16,36
2020-08-23,38
2020-08-30,36
2020-09-06,32
2020-09-13,33
2020-09-20,31
2020-09-27,33
2020-10-04,32
2020-10-11,27
2020-10-18,31
2020-10-25,30
2020-11-01,29
2020-11-08,33
2020-11-15,33
2020-11-22,33
2020-11-29,26
2020-12-06,31
2020-12-13,26
2020-12-20,27
2020-12-27,23
2021-01-03,21
2021-01-10,22
2021-01-17,21
2021-01-24,18
2021-01-31,23
2021-02-07,22
2021-02-14,20
2021-02-21,25
2021-02-28,24
2021-03-07,24
2021-03-14,27
2021-03-21,27
2021-03-28,27
2021-04-04,29
2021-04-11,22
2021-04-18,20
2021-04-25,23
2021-05-02,19
2021-05-09,24
2021-05-16,21
2021-05-23,24
2021-05-30,23
2021-06-06,23
2021-06-13,22
2021-06-20,22
2021-06-27,23
2021-07-04,22
2021-07-11,24
2021-07-18,28
2021-07-25,22
2021-08-01,22
2021-08-08,21
2021-08-15,24
2021-08-22,24
2021-08-29,25
2021-09-05,23
2021-09-12,29
2021-09-19,26
2021-09-26,27
2021-10-03,29
2021-10-10,26
2021-10-17,31
2021-10-24,25
2021-10-31,32
2021-11-07,36
2021-11-14,38
2021-11-21,36
2021-11-28,40
2021-12-05,35
2021-12-12,37
2021-12-19,37
2021-12-26,38
2022-01-02,41
2022-01-09,36
2022-01-16,35
2022-01-23,39
2022-01-30,31
2022-02-06,32
2022-02-13,34
2022-02-20,38
2022-02-27,39
2022-03-06,47
2022-03-13,45
2022-03-20,49
2022-03-27,49
2022-04-03,53
2022-04-10,50
