Category: All categories

Week,flight: (Qatar)
2020-01-26,59
2020-02-02,75
2020-02-09,79
2020-02-16,69
2020-02-23,71
2020-03-01,72
2020-03-08,100
2020-03-15,77
2020-03-22,37
2020-03-29,33
2020-04-05,39
2020-04-12,34
2020-04-19,27
2020-04-26,32
2020-05-03,47
2020-05-10,48
2020-05-17,47
2020-05-24,53
2020-05-31,55
2020-06-07,55
2020-06-14,50
2020-06-21,51
2020-06-28,65
2020-07-05,55
2020-07-12,52
2020-07-19,40
2020-07-26,47
2020-08-02,66
2020-08-09,45
2020-08-16,55
2020-08-23,45
2020-08-30,49
2020-09-06,45
2020-09-13,41
2020-09-20,36
2020-09-27,34
2020-10-04,30
2020-10-11,35
2020-10-18,31
2020-10-25,34
2020-11-01,35
2020-11-08,31
2020-11-15,36
2020-11-22,43
2020-11-29,40
2020-12-06,40
2020-12-13,44
2020-12-20,50
2020-12-27,45
2021-01-03,60
2021-01-10,47
2021-01-17,50
2021-01-24,46
2021-01-31,48
2021-02-07,36
2021-02-14,35
2021-02-21,37
2021-02-28,44
2021-03-07,39
2021-03-14,40
2021-03-21,44
2021-03-28,44
2021-04-04,45
2021-04-11,44
2021-04-18,44
2021-04-25,48
2021-05-02,50
2021-05-09,40
2021-05-16,48
2021-05-23,48
2021-05-30,48
2021-06-06,52
2021-06-13,51
2021-06-20,55
2021-06-27,76
2021-07-04,75
2021-07-11,93
2021-07-18,73
2021-07-25,82
2021-08-01,68
2021-08-08,71
2021-08-15,65
2021-08-22,60
2021-08-29,52
2021-09-05,55
2021-09-12,55
2021-09-19,51
2021-09-26,53
2021-10-03,59
2021-10-10,60
2021-10-17,58
2021-10-24,51
2021-10-31,64
2021-11-07,61
2021-11-14,61
2021-11-21,63
2021-11-28,62
2021-12-05,67
2021-12-12,71
2021-12-19,74
2021-12-26,65
2022-01-02,61
2022-01-09,58
2022-01-16,55
2022-01-23,60
2022-01-30,58
2022-02-06,58
2022-02-13,62
2022-02-20,58
2022-02-27,69
2022-03-06,80
2022-03-13,74
2022-03-20,82
2022-03-27,75
2022-04-03,78
2022-04-10,72
