Category: All categories

Week,flight: (Turkey)
2020-01-26,61
2020-02-02,74
2020-02-09,69
2020-02-16,64
2020-02-23,60
2020-03-01,61
2020-03-08,67
2020-03-15,69
2020-03-22,50
2020-03-29,46
2020-04-05,47
2020-04-12,45
2020-04-19,87
2020-04-26,49
2020-05-03,42
2020-05-10,45
2020-05-17,43
2020-05-24,43
2020-05-31,49
2020-06-07,44
2020-06-14,39
2020-06-21,44
2020-06-28,53
2020-07-05,46
2020-07-12,49
2020-07-19,46
2020-07-26,55
2020-08-02,67
2020-08-09,62
2020-08-16,100
2020-08-23,80
2020-08-30,68
2020-09-06,58
2020-09-13,56
2020-09-20,60
2020-09-27,69
2020-10-04,57
2020-10-11,50
2020-10-18,48
2020-10-25,50
2020-11-01,39
2020-11-08,38
2020-11-15,41
2020-11-22,42
2020-11-29,42
2020-12-06,47
2020-12-13,45
2020-12-20,50
2020-12-27,47
2021-01-03,44
2021-01-10,42
2021-01-17,84
2021-01-24,53
2021-01-31,44
2021-02-07,44
2021-02-14,51
2021-02-21,46
2021-02-28,40
2021-03-07,40
2021-03-14,39
2021-03-21,38
2021-03-28,47
2021-04-04,43
2021-04-11,43
2021-04-18,40
2021-04-25,45
2021-05-02,41
2021-05-09,40
2021-05-16,41
2021-05-23,47
2021-05-30,49
2021-06-06,46
2021-06-13,50
2021-06-20,51
2021-06-27,55
2021-07-04,66
2021-07-11,63
2021-07-18,89
2021-07-25,76
2021-08-01,92
2021-08-08,75
2021-08-15,80
2021-08-22,74
2021-08-29,70
2021-09-05,66
2021-09-12,62
2021-09-19,61
2021-09-26,57
2021-10-03,61
2021-10-10,63
2021-10-17,63
2021-10-24,62
2021-10-31,62
2021-11-07,56
2021-11-14,50
2021-11-21,46
2021-11-28,69
2021-12-05,55
2021-12-12,53
2021-12-19,49
2021-12-26,54
2022-01-02,56
2022-01-09,58
2022-01-16,57
2022-01-23,81
2022-01-30,59
2022-02-06,65
2022-02-13,64
2022-02-20,90
2022-02-27,78
2022-03-06,83
2022-03-13,69
2022-03-20,62
2022-03-27,68
2022-04-03,62
2022-04-10,66
