Category: All categories

Week,flight: (Switzerland)
2020-01-26,70
2020-02-02,79
2020-02-09,100
2020-02-16,83
2020-02-23,71
2020-03-01,70
2020-03-08,79
2020-03-15,81
2020-03-22,52
2020-03-29,39
2020-04-05,37
2020-04-12,38
2020-04-19,36
2020-04-26,32
2020-05-03,41
2020-05-10,39
2020-05-17,35
2020-05-24,39
2020-05-31,42
2020-06-07,38
2020-06-14,43
2020-06-21,42
2020-06-28,42
2020-07-05,51
2020-07-12,54
2020-07-19,56
2020-07-26,53
2020-08-02,57
2020-08-09,54
2020-08-16,99
2020-08-23,74
2020-08-30,57
2020-09-06,51
2020-09-13,51
2020-09-20,44
2020-09-27,41
2020-10-04,39
2020-10-11,38
2020-10-18,36
2020-10-25,38
2020-11-01,31
2020-11-08,33
2020-11-15,38
2020-11-22,35
2020-11-29,36
2020-12-06,43
2020-12-13,40
2020-12-20,55
2020-12-27,43
2021-01-03,42
2021-01-10,36
2021-01-17,37
2021-01-24,39
2021-01-31,36
2021-02-07,33
2021-02-14,31
2021-02-21,41
2021-02-28,41
2021-03-07,32
2021-03-14,36
2021-03-21,41
2021-03-28,38
2021-04-04,39
2021-04-11,37
2021-04-18,39
2021-04-25,37
2021-05-02,37
2021-05-09,39
2021-05-16,38
2021-05-23,41
2021-05-30,40
2021-06-06,39
2021-06-13,55
2021-06-20,43
2021-06-27,47
2021-07-04,54
2021-07-11,55
2021-07-18,65
2021-07-25,68
2021-08-01,67
2021-08-08,65
2021-08-15,55
2021-08-22,57
2021-08-29,54
2021-09-05,61
2021-09-12,55
2021-09-19,55
2021-09-26,66
2021-10-03,62
2021-10-10,56
2021-10-17,52
2021-10-24,56
2021-10-31,54
2021-11-07,55
2021-11-14,50
2021-11-21,50
2021-11-28,48
2021-12-05,42
2021-12-12,53
2021-12-19,61
2021-12-26,61
2022-01-02,57
2022-01-09,51
2022-01-16,53
2022-01-23,55
2022-01-30,66
2022-02-06,58
2022-02-13,75
2022-02-20,76
2022-02-27,80
2022-03-06,66
2022-03-13,66
2022-03-20,77
2022-03-27,72
2022-04-03,76
2022-04-10,80
