Category: All categories

Week,flight: (Netherlands)
2020-01-26,63
2020-02-02,76
2020-02-09,94
2020-02-16,75
2020-02-23,78
2020-03-01,62
2020-03-08,75
2020-03-15,81
2020-03-22,52
2020-03-29,41
2020-04-05,38
2020-04-12,36
2020-04-19,30
2020-04-26,35
2020-05-03,34
2020-05-10,32
2020-05-17,33
2020-05-24,37
2020-05-31,36
2020-06-07,37
2020-06-14,35
2020-06-21,36
2020-06-28,41
2020-07-05,36
2020-07-12,54
2020-07-19,51
2020-07-26,53
2020-08-02,51
2020-08-09,48
2020-08-16,100
2020-08-23,76
2020-08-30,54
2020-09-06,41
2020-09-13,45
2020-09-20,41
2020-09-27,38
2020-10-04,41
2020-10-11,37
2020-10-18,36
2020-10-25,33
2020-11-01,27
2020-11-08,38
2020-11-15,37
2020-11-22,37
2020-11-29,33
2020-12-06,37
2020-12-13,39
2020-12-20,37
2020-12-27,35
2021-01-03,36
2021-01-10,33
2021-01-17,34
2021-01-24,28
2021-01-31,32
2021-02-07,32
2021-02-14,32
2021-02-21,33
2021-02-28,31
2021-03-07,26
2021-03-14,31
2021-03-21,29
2021-03-28,29
2021-04-04,30
2021-04-11,31
2021-04-18,35
2021-04-25,32
2021-05-02,31
2021-05-09,34
2021-05-16,32
2021-05-23,36
2021-05-30,36
2021-06-06,38
2021-06-13,39
2021-06-20,39
2021-06-27,44
2021-07-04,47
2021-07-11,48
2021-07-18,55
2021-07-25,65
2021-08-01,53
2021-08-08,54
2021-08-15,55
2021-08-22,52
2021-08-29,49
2021-09-05,52
2021-09-12,51
2021-09-19,50
2021-09-26,49
2021-10-03,57
2021-10-10,50
2021-10-17,60
2021-10-24,51
2021-10-31,50
2021-11-07,50
2021-11-14,47
2021-11-21,43
2021-11-28,53
2021-12-05,48
2021-12-12,55
2021-12-19,58
2021-12-26,54
2022-01-02,62
2022-01-09,57
2022-01-16,51
2022-01-23,54
2022-01-30,54
2022-02-06,53
2022-02-13,59
2022-02-20,75
2022-02-27,69
2022-03-06,70
2022-03-13,60
2022-03-20,61
2022-03-27,69
2022-04-03,67
2022-04-10,71
