Category: All categories

Week,flight: (Hong Kong)
2020-01-26,100
2020-02-02,93
2020-02-09,65
2020-02-16,66
2020-02-23,68
2020-03-01,58
2020-03-08,56
2020-03-15,64
2020-03-22,49
2020-03-29,35
2020-04-05,27
2020-04-12,28
2020-04-19,27
2020-04-26,29
2020-05-03,28
2020-05-10,31
2020-05-17,32
2020-05-24,27
2020-05-31,33
2020-06-07,29
2020-06-14,33
2020-06-21,27
2020-06-28,32
2020-07-05,32
2020-07-12,31
2020-07-19,34
2020-07-26,28
2020-08-02,35
2020-08-09,31
2020-08-16,48
2020-08-23,46
2020-08-30,38
2020-09-06,38
2020-09-13,30
2020-09-20,35
2020-09-27,31
2020-10-04,30
2020-10-11,26
2020-10-18,31
2020-10-25,27
2020-11-01,27
2020-11-08,31
2020-11-15,26
2020-11-22,31
2020-11-29,32
2020-12-06,28
2020-12-13,27
2020-12-20,27
2020-12-27,25
2021-01-03,31
2021-01-10,26
2021-01-17,22
2021-01-24,25
2021-01-31,25
2021-02-07,23
2021-02-14,26
2021-02-21,24
2021-02-28,26
2021-03-07,26
2021-03-14,23
2021-03-21,29
2021-03-28,28
2021-04-04,27
2021-04-11,25
2021-04-18,31
2021-04-25,31
2021-05-02,27
2021-05-09,26
2021-05-16,25
2021-05-23,27
2021-05-30,24
2021-06-06,28
2021-06-13,28
2021-06-20,30
2021-06-27,30
2021-07-04,30
2021-07-11,33
2021-07-18,31
2021-07-25,29
2021-08-01,28
2021-08-08,31
2021-08-15,36
2021-08-22,30
2021-08-29,26
2021-09-05,31
2021-09-12,29
2021-09-19,28
2021-09-26,26
2021-10-03,28
2021-10-10,31
2021-10-17,26
2021-10-24,29
2021-10-31,25
2021-11-07,25
2021-11-14,29
2021-11-21,28
2021-11-28,32
2021-12-05,32
2021-12-12,29
2021-12-19,25
2021-12-26,28
2022-01-02,40
2022-01-09,33
2022-01-16,28
2022-01-23,27
2022-01-30,29
2022-02-06,30
2022-02-13,35
2022-02-20,43
2022-02-27,38
2022-03-06,38
2022-03-13,33
2022-03-20,54
2022-03-27,48
2022-04-03,42
2022-04-10,44
