Week,Flight tracking: (Germany)
2020-01-26,58
2020-02-02,63
2020-02-09,94
2020-02-16,82
2020-02-23,65
2020-03-01,58
2020-03-08,51
2020-03-15,100
2020-03-22,61
2020-03-29,39
2020-04-05,35
2020-04-12,30
2020-04-19,26
2020-04-26,16
2020-05-03,27
2020-05-10,15
2020-05-17,23
2020-05-24,25
2020-05-31,23
2020-06-07,16
2020-06-14,18
2020-06-21,20
2020-06-28,25
2020-07-05,21
2020-07-12,24
2020-07-19,38
2020-07-26,38
2020-08-02,38
2020-08-09,40
2020-08-16,29
2020-08-23,29
2020-08-30,27
2020-09-06,36
2020-09-13,21
2020-09-20,23
2020-09-27,24
2020-10-04,24
2020-10-11,22
2020-10-18,25
2020-10-25,16
2020-11-01,18
2020-11-08,20
2020-11-15,23
2020-11-22,21
2020-11-29,25
2020-12-06,22
2020-12-13,30
2020-12-20,25
2020-12-27,24
2021-01-03,17
2021-01-10,36
2021-01-17,22
2021-01-24,19
2021-01-31,26
2021-02-07,26
2021-02-14,18
2021-02-21,25
2021-02-28,23
2021-03-07,15
2021-03-14,21
2021-03-21,19
2021-03-28,24
2021-04-04,17
2021-04-11,22
2021-04-18,22
2021-04-25,21
2021-05-02,16
2021-05-09,28
2021-05-16,27
2021-05-23,23
2021-05-30,33
2021-06-06,34
2021-06-13,34
2021-06-20,39
2021-06-27,38
2021-07-04,32
2021-07-11,43
2021-07-18,50
2021-07-25,39
2021-08-01,43
2021-08-08,50
2021-08-15,48
2021-08-22,54
2021-08-29,55
2021-09-05,40
2021-09-12,39
2021-09-19,51
2021-09-26,47
2021-10-03,39
2021-10-10,46
2021-10-17,46
2021-10-24,42
2021-10-31,43
2021-11-07,40
2021-11-14,32
2021-11-21,35
2021-11-28,53
2021-12-05,41
2021-12-12,45
2021-12-19,58
2021-12-26,53
2022-01-02,38
2022-01-09,49
2022-01-16,40
2022-01-23,51
2022-01-30,37
2022-02-06,38
2022-02-13,58
2022-02-20,89
2022-02-27,92
2022-03-06,68
2022-03-13,48
2022-03-20,60
2022-03-27,63
2022-04-03,57
2022-04-10,66
