Category: All categories

Week,flight: (Saudi Arabia)
2020-01-26,58
2020-02-02,57
2020-02-09,56
2020-02-16,60
2020-02-23,63
2020-03-01,60
2020-03-08,100
2020-03-15,45
2020-03-22,23
2020-03-29,23
2020-04-05,24
2020-04-12,26
2020-04-19,25
2020-04-26,25
2020-05-03,30
2020-05-10,28
2020-05-17,33
2020-05-24,34
2020-05-31,36
2020-06-07,37
2020-06-14,41
2020-06-21,41
2020-06-28,42
2020-07-05,38
2020-07-12,41
2020-07-19,40
2020-07-26,35
2020-08-02,46
2020-08-09,43
2020-08-16,44
2020-08-23,35
2020-08-30,31
2020-09-06,25
2020-09-13,38
2020-09-20,42
2020-09-27,35
2020-10-04,33
2020-10-11,30
2020-10-18,30
2020-10-25,30
2020-11-01,31
2020-11-08,32
2020-11-15,33
2020-11-22,32
2020-11-29,36
2020-12-06,34
2020-12-13,35
2020-12-20,40
2020-12-27,59
2021-01-03,70
2021-01-10,54
2021-01-17,46
2021-01-24,40
2021-01-31,39
2021-02-07,30
2021-02-14,31
2021-02-21,29
2021-02-28,33
2021-03-07,32
2021-03-14,31
2021-03-21,35
2021-03-28,33
2021-04-04,32
2021-04-11,31
2021-04-18,37
2021-04-25,35
2021-05-02,41
2021-05-09,38
2021-05-16,51
2021-05-23,41
2021-05-30,41
2021-06-06,43
2021-06-13,42
2021-06-20,44
2021-06-27,46
2021-07-04,50
2021-07-11,50
2021-07-18,53
2021-07-25,52
2021-08-01,46
2021-08-08,46
2021-08-15,48
2021-08-22,57
2021-08-29,47
2021-09-05,43
2021-09-12,42
2021-09-19,41
2021-09-26,43
2021-10-03,45
2021-10-10,43
2021-10-17,47
2021-10-24,41
2021-10-31,46
2021-11-07,44
2021-11-14,45
2021-11-21,48
2021-11-28,65
2021-12-05,51
2021-12-12,48
2021-12-19,49
2021-12-26,45
2022-01-02,46
2022-01-09,50
2022-01-16,40
2022-01-23,40
2022-01-30,43
2022-02-06,41
2022-02-13,42
2022-02-20,44
2022-02-27,48
2022-03-06,50
2022-03-13,53
2022-03-20,65
2022-03-27,60
2022-04-03,57
2022-04-10,54
