Category: All categories

Week,flight: (Brazil)
2020-01-26,67
2020-02-02,71
2020-02-09,67
2020-02-16,66
2020-02-23,71
2020-03-01,62
2020-03-08,68
2020-03-15,77
2020-03-22,65
2020-03-29,54
2020-04-05,48
2020-04-12,54
2020-04-19,49
2020-04-26,45
2020-05-03,43
2020-05-10,42
2020-05-17,42
2020-05-24,44
2020-05-31,37
2020-06-07,45
2020-06-14,43
2020-06-21,46
2020-06-28,44
2020-07-05,46
2020-07-12,51
2020-07-19,44
2020-07-26,52
2020-08-02,49
2020-08-09,52
2020-08-16,100
2020-08-23,73
2020-08-30,58
2020-09-06,52
2020-09-13,48
2020-09-20,48
2020-09-27,48
2020-10-04,47
2020-10-11,50
2020-10-18,45
2020-10-25,52
2020-11-01,48
2020-11-08,48
2020-11-15,43
2020-11-22,47
2020-11-29,45
2020-12-06,47
2020-12-13,53
2020-12-20,61
2020-12-27,59
2021-01-03,52
2021-01-10,58
2021-01-17,59
2021-01-24,54
2021-01-31,55
2021-02-07,45
2021-02-14,48
2021-02-21,46
2021-02-28,50
2021-03-07,43
2021-03-14,40
2021-03-21,44
2021-03-28,46
2021-04-04,40
2021-04-11,41
2021-04-18,47
2021-04-25,41
2021-05-02,44
2021-05-09,43
2021-05-16,43
2021-05-23,44
2021-05-30,49
2021-06-06,46
2021-06-13,48
2021-06-20,46
2021-06-27,51
2021-07-04,59
2021-07-11,53
2021-07-18,65
2021-07-25,65
2021-08-01,53
2021-08-08,51
2021-08-15,52
2021-08-22,50
2021-08-29,51
2021-09-05,53
2021-09-12,54
2021-09-19,50
2021-09-26,54
2021-10-03,53
2021-10-10,54
2021-10-17,48
2021-10-24,54
2021-10-31,61
2021-11-07,63
2021-11-14,55
2021-11-21,63
2021-11-28,57
2021-12-05,58
2021-12-12,66
2021-12-19,76
2021-12-26,70
2022-01-02,64
2022-01-09,66
2022-01-16,62
2022-01-23,60
2022-01-30,60
2022-02-06,55
2022-02-13,54
2022-02-20,88
2022-02-27,69
2022-03-06,60
2022-03-13,57
2022-03-20,61
2022-03-27,58
2022-04-03,56
2022-04-10,61
