Week,Flight tracking: (India)
2020-01-26,97
2020-02-02,95
2020-02-09,91
2020-02-16,91
2020-02-23,90
2020-03-01,86
2020-03-08,86
2020-03-15,98
2020-03-22,49
2020-03-29,21
2020-04-05,22
2020-04-12,16
2020-04-19,15
2020-04-26,15
2020-05-03,23
2020-05-10,20
2020-05-17,17
2020-05-24,40
2020-05-31,36
2020-06-07,36
2020-06-14,36
2020-06-21,32
2020-06-28,30
2020-07-05,31
2020-07-12,30
2020-07-19,29
2020-07-26,33
2020-08-02,35
2020-08-09,29
2020-08-16,34
2020-08-23,39
2020-08-30,35
2020-09-06,41
2020-09-13,32
2020-09-20,35
2020-09-27,40
2020-10-04,33
2020-10-11,34
2020-10-18,40
2020-10-25,41
2020-11-01,42
2020-11-08,34
2020-11-15,47
2020-11-22,51
2020-11-29,49
2020-12-06,58
2020-12-13,56
2020-12-20,58
2020-12-27,52
2021-01-03,55
2021-01-10,63
2021-01-17,65
2021-01-24,54
2021-01-31,63
2021-02-07,55
2021-02-14,58
2021-02-21,53
2021-02-28,55
2021-03-07,52
2021-03-14,47
2021-03-21,58
2021-03-28,59
2021-04-04,51
2021-04-11,42
2021-04-18,44
2021-04-25,39
2021-05-02,43
2021-05-09,38
2021-05-16,38
2021-05-23,37
2021-05-30,32
2021-06-06,45
2021-06-13,36
2021-06-20,35
2021-06-27,41
2021-07-04,43
2021-07-11,48
2021-07-18,46
2021-07-25,43
2021-08-01,52
2021-08-08,62
2021-08-15,74
2021-08-22,73
2021-08-29,61
2021-09-05,64
2021-09-12,62
2021-09-19,57
2021-09-26,48
2021-10-03,55
2021-10-10,56
2021-10-17,58
2021-10-24,66
2021-10-31,71
2021-11-07,73
2021-11-14,78
2021-11-21,74
2021-11-28,81
2021-12-05,100
2021-12-12,97
2021-12-19,91
2021-12-26,80
2022-01-02,72
2022-01-09,64
2022-01-16,64
2022-01-23,64
2022-01-30,65
2022-02-06,62
2022-02-13,62
2022-02-20,83
2022-02-27,88
2022-03-06,81
2022-03-13,77
2022-03-20,75
2022-03-27,76
2022-04-03,76
2022-04-10,90
