Category: All categories

Week,Marriage: (Poland)
2020-01-26,75
2020-02-02,77
2020-02-09,79
2020-02-16,78
2020-02-23,74
2020-03-01,70
2020-03-08,56
2020-03-15,59
2020-03-22,62
2020-03-29,58
2020-04-05,61
2020-04-12,66
2020-04-19,68
2020-04-26,70
2020-05-03,73
2020-05-10,66
2020-05-17,78
2020-05-24,71
2020-05-31,74
2020-06-07,100
2020-06-14,76
2020-06-21,70
2020-06-28,72
2020-07-05,75
2020-07-12,73
2020-07-19,91
2020-07-26,71
2020-08-02,73
2020-08-09,78
2020-08-16,74
2020-08-23,70
2020-08-30,70
2020-09-06,73
2020-09-13,70
2020-09-20,73
2020-09-27,72
2020-10-04,70
2020-10-11,70
2020-10-18,70
2020-10-25,64
2020-11-01,68
2020-11-08,78
2020-11-15,70
2020-11-22,67
2020-11-29,70
2020-12-06,69
2020-12-13,66
2020-12-20,72
2020-12-27,78
2021-01-03,79
2021-01-10,73
2021-01-17,72
2021-01-24,71
2021-01-31,68
2021-02-07,80
2021-02-14,83
2021-02-21,77
2021-02-28,71
2021-03-07,75
2021-03-14,75
2021-03-21,69
2021-03-28,65
2021-04-04,77
2021-04-11,77
2021-04-18,79
2021-04-25,76
2021-05-02,72
2021-05-09,77
2021-05-16,72
2021-05-23,68
2021-05-30,70
2021-06-06,75
2021-06-13,68
2021-06-20,74
2021-06-27,65
2021-07-04,80
2021-07-11,79
2021-07-18,76
2021-07-25,76
2021-08-01,75
2021-08-08,72
2021-08-15,79
2021-08-22,78
2021-08-29,71
2021-09-05,69
2021-09-12,69
2021-09-19,74
2021-09-26,80
2021-10-03,74
2021-10-10,74
2021-10-17,77
2021-10-24,75
2021-10-31,71
2021-11-07,74
2021-11-14,74
2021-11-21,77
2021-11-28,66
2021-12-05,66
2021-12-12,65
2021-12-19,68
2021-12-26,85
2022-01-02,84
2022-01-09,82
2022-01-16,80
2022-01-23,80
2022-01-30,85
2022-02-06,81
2022-02-13,78
2022-02-20,70
2022-02-27,65
2022-03-06,61
2022-03-13,72
2022-03-20,66
2022-03-27,71
2022-04-03,79
2022-04-10,72
