Category: All categories

Week,Marriage: (Germany)
2020-01-26,84
2020-02-02,81
2020-02-09,79
2020-02-16,81
2020-02-23,77
2020-03-01,72
2020-03-08,64
2020-03-15,53
2020-03-22,61
2020-03-29,63
2020-04-05,68
2020-04-12,71
2020-04-19,69
2020-04-26,75
2020-05-03,78
2020-05-10,73
2020-05-17,79
2020-05-24,77
2020-05-31,88
2020-06-07,100
2020-06-14,80
2020-06-21,73
2020-06-28,83
2020-07-05,81
2020-07-12,83
2020-07-19,87
2020-07-26,83
2020-08-02,85
2020-08-09,83
2020-08-16,84
2020-08-23,88
2020-08-30,85
2020-09-06,85
2020-09-13,85
2020-09-20,85
2020-09-27,77
2020-10-04,78
2020-10-11,76
2020-10-18,73
2020-10-25,72
2020-11-01,70
2020-11-08,76
2020-11-15,89
2020-11-22,72
2020-11-29,71
2020-12-06,73
2020-12-13,66
2020-12-20,76
2020-12-27,85
2021-01-03,80
2021-01-10,71
2021-01-17,74
2021-01-24,75
2021-01-31,71
2021-02-07,68
2021-02-14,73
2021-02-21,70
2021-02-28,71
2021-03-07,73
2021-03-14,73
2021-03-21,71
2021-03-28,75
2021-04-04,74
2021-04-11,70
2021-04-18,75
2021-04-25,70
2021-05-02,76
2021-05-09,73
2021-05-16,76
2021-05-23,73
2021-05-30,73
2021-06-06,75
2021-06-13,65
2021-06-20,76
2021-06-27,68
2021-07-04,81
2021-07-11,80
2021-07-18,78
2021-07-25,81
2021-08-01,80
2021-08-08,100
2021-08-15,87
2021-08-22,83
2021-08-29,79
2021-09-05,79
2021-09-12,85
2021-09-19,78
2021-09-26,84
2021-10-03,80
2021-10-10,82
2021-10-17,83
2021-10-24,78
2021-10-31,78
2021-11-07,73
2021-11-14,76
2021-11-21,68
2021-11-28,68
2021-12-05,77
2021-12-12,73
2021-12-19,77
2021-12-26,85
2022-01-02,87
2022-01-09,79
2022-01-16,88
2022-01-23,80
2022-01-30,82
2022-02-06,85
2022-02-13,75
2022-02-20,73
2022-02-27,72
2022-03-06,75
2022-03-13,79
2022-03-20,76
2022-03-27,82
2022-04-03,85
2022-04-10,85
