Category: All categories

Week,Marriage: (India)
2020-01-26,83
2020-02-02,82
2020-02-09,79
2020-02-16,84
2020-02-23,78
2020-03-01,69
2020-03-08,66
2020-03-15,69
2020-03-22,70
2020-03-29,64
2020-04-05,65
2020-04-12,72
2020-04-19,75
2020-04-26,79
2020-05-03,80
2020-05-10,78
2020-05-17,75
2020-05-24,75
2020-05-31,78
2020-06-07,76
2020-06-14,75
2020-06-21,70
2020-06-28,70
2020-07-05,66
2020-07-12,63
2020-07-19,62
2020-07-26,66
2020-08-02,71
2020-08-09,64
2020-08-16,62
2020-08-23,66
2020-08-30,64
2020-09-06,60
2020-09-13,60
2020-09-20,57
2020-09-27,58
2020-10-04,63
2020-10-11,60
2020-10-18,66
2020-10-25,74
2020-11-01,68
2020-11-08,63
2020-11-15,80
2020-11-22,93
2020-11-29,89
2020-12-06,95
2020-12-13,72
2020-12-20,71
2020-12-27,70
2021-01-03,70
2021-01-10,69
2021-01-17,70
2021-01-24,86
2021-01-31,70
2021-02-07,70
2021-02-14,76
2021-02-21,73
2021-02-28,70
2021-03-07,80
2021-03-14,65
2021-03-21,58
2021-03-28,64
2021-04-04,62
2021-04-11,62
2021-04-18,68
2021-04-25,72
2021-05-02,76
2021-05-09,75
2021-05-16,78
2021-05-23,78
2021-05-30,74
2021-06-06,71
2021-06-13,69
2021-06-20,65
2021-06-27,68
2021-07-04,66
2021-07-11,61
2021-07-18,55
2021-07-25,53
2021-08-01,53
2021-08-08,52
2021-08-15,57
2021-08-22,59
2021-08-29,55
2021-09-05,52
2021-09-12,52
2021-09-19,48
2021-09-26,48
2021-10-03,47
2021-10-10,52
2021-10-17,57
2021-10-24,57
2021-10-31,53
2021-11-07,66
2021-11-14,72
2021-11-21,75
2021-11-28,72
2021-12-05,100
2021-12-12,81
2021-12-19,66
2021-12-26,56
2022-01-02,53
2022-01-09,52
2022-01-16,64
2022-01-23,72
2022-01-30,67
2022-02-06,75
2022-02-13,71
2022-02-20,65
2022-02-27,69
2022-03-06,57
2022-03-13,54
2022-03-20,55
2022-03-27,53
2022-04-03,56
2022-04-10,70
