Category: All categories

Week,Marriage: (Spain)
2020-01-26,78
2020-02-02,80
2020-02-09,82
2020-02-16,78
2020-02-23,72
2020-03-01,72
2020-03-08,57
2020-03-15,48
2020-03-22,55
2020-03-29,59
2020-04-05,68
2020-04-12,70
2020-04-19,71
2020-04-26,74
2020-05-03,91
2020-05-10,72
2020-05-17,73
2020-05-24,76
2020-05-31,77
2020-06-07,74
2020-06-14,78
2020-06-21,70
2020-06-28,78
2020-07-05,70
2020-07-12,76
2020-07-19,76
2020-07-26,74
2020-08-02,74
2020-08-09,76
2020-08-16,81
2020-08-23,80
2020-08-30,79
2020-09-06,80
2020-09-13,76
2020-09-20,75
2020-09-27,77
2020-10-04,75
2020-10-11,77
2020-10-18,76
2020-10-25,74
2020-11-01,72
2020-11-08,79
2020-11-15,78
2020-11-22,72
2020-11-29,73
2020-12-06,70
2020-12-13,66
2020-12-20,63
2020-12-27,73
2021-01-03,71
2021-01-10,72
2021-01-17,85
2021-01-24,78
2021-01-31,83
2021-02-07,81
2021-02-14,79
2021-02-21,80
2021-02-28,82
2021-03-07,80
2021-03-14,71
2021-03-21,74
2021-03-28,78
2021-04-04,79
2021-04-11,79
2021-04-18,79
2021-04-25,79
2021-05-02,82
2021-05-09,77
2021-05-16,79
2021-05-23,76
2021-05-30,75
2021-06-06,75
2021-06-13,69
2021-06-20,73
2021-06-27,68
2021-07-04,72
2021-07-11,72
2021-07-18,72
2021-07-25,78
2021-08-01,74
2021-08-08,73
2021-08-15,79
2021-08-22,81
2021-08-29,81
2021-09-05,80
2021-09-12,78
2021-09-19,75
2021-09-26,81
2021-10-03,80
2021-10-10,81
2021-10-17,79
2021-10-24,79
2021-10-31,77
2021-11-07,74
2021-11-14,78
2021-11-21,67
2021-11-28,66
2021-12-05,68
2021-12-12,66
2021-12-19,62
2021-12-26,74
2022-01-02,72
2022-01-09,75
2022-01-16,77
2022-01-23,80
2022-01-30,77
2022-02-06,80
2022-02-13,85
2022-02-20,100
2022-02-27,72
2022-03-06,74
2022-03-13,74
2022-03-20,74
2022-03-27,79
2022-04-03,80
2022-04-10,74
