Category: All categories

Week,Marriage: (France)
2020-01-26,79
2020-02-02,79
2020-02-09,77
2020-02-16,84
2020-02-23,81
2020-03-01,76
2020-03-08,68
2020-03-15,40
2020-03-22,45
2020-03-29,51
2020-04-05,53
2020-04-12,63
2020-04-19,64
2020-04-26,62
2020-05-03,56
2020-05-10,55
2020-05-17,58
2020-05-24,65
2020-05-31,81
2020-06-07,74
2020-06-14,80
2020-06-21,75
2020-06-28,78
2020-07-05,79
2020-07-12,86
2020-07-19,83
2020-07-26,79
2020-08-02,82
2020-08-09,78
2020-08-16,88
2020-08-23,100
2020-08-30,90
2020-09-06,84
2020-09-13,85
2020-09-20,85
2020-09-27,65
2020-10-04,60
2020-10-11,63
2020-10-18,54
2020-10-25,46
2020-11-01,37
2020-11-08,43
2020-11-15,45
2020-11-22,43
2020-11-29,41
2020-12-06,38
2020-12-13,39
2020-12-20,42
2020-12-27,55
2021-01-03,52
2021-01-10,53
2021-01-17,57
2021-01-24,52
2021-01-31,54
2021-02-07,59
2021-02-14,64
2021-02-21,63
2021-02-28,63
2021-03-07,67
2021-03-14,66
2021-03-21,62
2021-03-28,57
2021-04-04,64
2021-04-11,70
2021-04-18,72
2021-04-25,74
2021-05-02,74
2021-05-09,79
2021-05-16,85
2021-05-23,83
2021-05-30,80
2021-06-06,84
2021-06-13,82
2021-06-20,90
2021-06-27,90
2021-07-04,99
2021-07-11,95
2021-07-18,88
2021-07-25,88
2021-08-01,87
2021-08-08,85
2021-08-15,90
2021-08-22,95
2021-08-29,85
2021-09-05,88
2021-09-12,87
2021-09-19,82
2021-09-26,77
2021-10-03,70
2021-10-10,64
2021-10-17,62
2021-10-24,63
2021-10-31,62
2021-11-07,61
2021-11-14,60
2021-11-21,53
2021-11-28,50
2021-12-05,48
2021-12-12,41
2021-12-19,44
2021-12-26,58
2022-01-02,59
2022-01-09,61
2022-01-16,73
2022-01-23,75
2022-01-30,71
2022-02-06,74
2022-02-13,78
2022-02-20,79
2022-02-27,72
2022-03-06,76
2022-03-13,80
2022-03-20,80
2022-03-27,80
2022-04-03,83
2022-04-10,84
