Category: All categories

Week,marriage: (Belgium)
2020-01-26,88
2020-02-02,82
2020-02-09,100
2020-02-16,87
2020-02-23,66
2020-03-01,53
2020-03-08,48
2020-03-15,64
2020-03-22,60
2020-03-29,62
2020-04-05,75
2020-04-12,63
2020-04-19,61
2020-04-26,63
2020-05-03,53
2020-05-10,55
2020-05-17,50
2020-05-24,82
2020-05-31,74
2020-06-07,53
2020-06-14,56
2020-06-21,55
2020-06-28,64
2020-07-05,50
2020-07-12,49
2020-07-19,62
2020-07-26,67
2020-08-02,45
2020-08-09,67
2020-08-16,74
2020-08-23,55
2020-08-30,63
2020-09-06,57
2020-09-13,42
2020-09-20,76
2020-09-27,52
2020-10-04,52
2020-10-11,34
2020-10-18,70
2020-10-25,56
2020-11-01,31
2020-11-08,58
2020-11-15,59
2020-11-22,53
2020-11-29,59
2020-12-06,66
2020-12-13,63
2020-12-20,51
2020-12-27,51
2021-01-03,63
2021-01-10,61
2021-01-17,54
2021-01-24,46
2021-01-31,36
2021-02-07,56
2021-02-14,64
2021-02-21,60
2021-02-28,64
2021-03-07,50
2021-03-14,97
2021-03-21,54
2021-03-28,60
2021-04-04,49
2021-04-11,62
2021-04-18,48
2021-04-25,71
2021-05-02,77
2021-05-09,42
2021-05-16,57
2021-05-23,60
2021-05-30,58
2021-06-06,48
2021-06-13,55
2021-06-20,50
2021-06-27,71
2021-07-04,53
2021-07-11,55
2021-07-18,47
2021-07-25,68
2021-08-01,58
2021-08-08,50
2021-08-15,64
2021-08-22,64
2021-08-29,51
2021-09-05,62
2021-09-12,75
2021-09-19,68
2021-09-26,66
2021-10-03,68
2021-10-10,99
2021-10-17,55
2021-10-24,54
2021-10-31,41
2021-11-07,65
2021-11-14,67
2021-11-21,51
2021-11-28,55
2021-12-05,72
2021-12-12,68
2021-12-19,67
2021-12-26,61
2022-01-02,54
2022-01-09,48
2022-01-16,66
2022-01-23,63
2022-01-30,78
2022-02-06,57
2022-02-13,66
2022-02-20,68
2022-02-27,60
2022-03-06,59
2022-03-13,52
2022-03-20,56
2022-03-27,70
2022-04-03,66
2022-04-10,88
