Category: All categories

Week,mask: (Canada)
2020-01-26,55
2020-02-02,24
2020-02-09,19
2020-02-16,18
2020-02-23,28
2020-03-01,26
2020-03-08,34
2020-03-15,51
2020-03-22,62
2020-03-29,93
2020-04-05,100
2020-04-12,66
2020-04-19,62
2020-04-26,60
2020-05-03,61
2020-05-10,59
2020-05-17,66
2020-05-24,53
2020-05-31,41
2020-06-07,37
2020-06-14,36
2020-06-21,35
2020-06-28,49
2020-07-05,67
2020-07-12,74
2020-07-19,75
2020-07-26,72
2020-08-02,67
2020-08-09,64
2020-08-16,59
2020-08-23,57
2020-08-30,55
2020-09-06,50
2020-09-13,50
2020-09-20,40
2020-09-27,40
2020-10-04,39
2020-10-11,31
2020-10-18,34
2020-10-25,39
2020-11-01,33
2020-11-08,34
2020-11-15,43
2020-11-22,43
2020-11-29,32
2020-12-06,29
2020-12-13,28
2020-12-20,23
2020-12-27,24
2021-01-03,24
2021-01-10,26
2021-01-17,25
2021-01-24,28
2021-01-31,26
2021-02-07,26
2021-02-14,24
2021-02-21,24
2021-02-28,24
2021-03-07,23
2021-03-14,22
2021-03-21,23
2021-03-28,26
2021-04-04,31
2021-04-11,23
2021-04-18,22
2021-04-25,23
2021-05-02,21
2021-05-09,21
2021-05-16,21
2021-05-23,18
2021-05-30,17
2021-06-06,18
2021-06-13,18
2021-06-20,21
2021-06-27,25
2021-07-04,25
2021-07-11,19
2021-07-18,17
2021-07-25,20
2021-08-01,20
2021-08-08,20
2021-08-15,21
2021-08-22,28
2021-08-29,27
2021-09-05,23
2021-09-12,23
2021-09-19,21
2021-09-26,21
2021-10-03,22
2021-10-10,21
2021-10-17,24
2021-10-24,26
2021-10-31,21
2021-11-07,18
2021-11-14,18
2021-11-21,20
2021-11-28,20
2021-12-05,19
2021-12-12,24
2021-12-19,35
2021-12-26,31
2022-01-02,37
2022-01-09,36
2022-01-16,28
2022-01-23,23
2022-01-30,22
2022-02-06,23
2022-02-13,22
2022-02-20,21
2022-02-27,31
2022-03-06,48
2022-03-13,26
2022-03-20,29
2022-03-27,18
2022-04-03,18
2022-04-10,18
