Category: All categories

Week,mask: (France)
2020-01-26,12
2020-02-02,10
2020-02-09,10
2020-02-16,12
2020-02-23,16
2020-03-01,13
2020-03-08,13
2020-03-15,16
2020-03-22,15
2020-03-29,22
2020-04-05,27
2020-04-12,21
2020-04-19,22
2020-04-26,24
2020-05-03,26
2020-05-10,23
2020-05-17,17
2020-05-24,15
2020-05-31,11
2020-06-07,12
2020-06-14,12
2020-06-21,12
2020-06-28,11
2020-07-05,14
2020-07-12,15
2020-07-19,18
2020-07-26,14
2020-08-02,13
2020-08-09,13
2020-08-16,16
2020-08-23,17
2020-08-30,18
2020-09-06,16
2020-09-13,14
2020-09-20,13
2020-09-27,14
2020-10-04,16
2020-10-11,48
2020-10-18,88
2020-10-25,87
2020-11-01,70
2020-11-08,51
2020-11-15,54
2020-11-22,100
2020-11-29,60
2020-12-06,13
2020-12-13,17
2020-12-20,13
2020-12-27,12
2021-01-03,11
2021-01-10,10
2021-01-17,12
2021-01-24,12
2021-01-31,11
2021-02-07,12
2021-02-14,11
2021-02-21,12
2021-02-28,11
2021-03-07,12
2021-03-14,11
2021-03-21,10
2021-03-28,10
2021-04-04,11
2021-04-11,11
2021-04-18,10
2021-04-25,10
2021-05-02,10
2021-05-09,9
2021-05-16,9
2021-05-23,10
2021-05-30,9
2021-06-06,9
2021-06-13,10
2021-06-20,9
2021-06-27,11
2021-07-04,8
2021-07-11,10
2021-07-18,10
2021-07-25,10
2021-08-01,10
2021-08-08,9
2021-08-15,10
2021-08-22,10
2021-08-29,10
2021-09-05,9
2021-09-12,8
2021-09-19,8
2021-09-26,9
2021-10-03,9
2021-10-10,10
2021-10-17,10
2021-10-24,10
2021-10-31,11
2021-11-07,10
2021-11-14,9
2021-11-21,9
2021-11-28,10
2021-12-05,10
2021-12-12,10
2021-12-19,13
2021-12-26,13
2022-01-02,13
2022-01-09,13
2022-01-16,11
2022-01-23,11
2022-01-30,12
2022-02-06,11
2022-02-13,10
2022-02-20,10
2022-02-27,10
2022-03-06,12
2022-03-13,12
2022-03-20,11
2022-03-27,55
2022-04-03,68
2022-04-10,53
