Category: All categories

Week,mask: (Saudi Arabia)
2020-01-26,33
2020-02-02,30
2020-02-09,23
2020-02-16,19
2020-02-23,44
2020-03-01,47
2020-03-08,53
2020-03-15,47
2020-03-22,46
2020-03-29,37
2020-04-05,37
2020-04-12,29
2020-04-19,27
2020-04-26,35
2020-05-03,36
2020-05-10,37
2020-05-17,46
2020-05-24,67
2020-05-31,100
2020-06-07,68
2020-06-14,54
2020-06-21,51
2020-06-28,44
2020-07-05,43
2020-07-12,40
2020-07-19,34
2020-07-26,34
2020-08-02,33
2020-08-09,31
2020-08-16,24
2020-08-23,22
2020-08-30,20
2020-09-06,17
2020-09-13,15
2020-09-20,19
2020-09-27,18
2020-10-04,18
2020-10-11,18
2020-10-18,16
2020-10-25,19
2020-11-01,17
2020-11-08,18
2020-11-15,18
2020-11-22,15
2020-11-29,19
2020-12-06,17
2020-12-13,19
2020-12-20,17
2020-12-27,18
2021-01-03,29
2021-01-10,24
2021-01-17,20
2021-01-24,19
2021-01-31,19
2021-02-07,22
2021-02-14,21
2021-02-21,20
2021-02-28,19
2021-03-07,17
2021-03-14,15
2021-03-21,18
2021-03-28,17
2021-04-04,18
2021-04-11,14
2021-04-18,19
2021-04-25,20
2021-05-02,24
2021-05-09,26
2021-05-16,22
2021-05-23,20
2021-05-30,22
2021-06-06,21
2021-06-13,17
2021-06-20,18
2021-06-27,18
2021-07-04,18
2021-07-11,20
2021-07-18,20
2021-07-25,17
2021-08-01,22
2021-08-08,16
2021-08-15,19
2021-08-22,22
2021-08-29,17
2021-09-05,16
2021-09-12,14
2021-09-19,15
2021-09-26,16
2021-10-03,14
2021-10-10,19
2021-10-17,18
2021-10-24,14
2021-10-31,13
2021-11-07,13
2021-11-14,13
2021-11-21,12
2021-11-28,16
2021-12-05,14
2021-12-12,15
2021-12-19,15
2021-12-26,14
2022-01-02,19
2022-01-09,19
2022-01-16,18
2022-01-23,18
2022-01-30,19
2022-02-06,14
2022-02-13,14
2022-02-20,14
2022-02-27,16
2022-03-06,17
2022-03-13,13
2022-03-20,11
2022-03-27,13
2022-04-03,11
2022-04-10,13
