Category: All categories

Week,mask: (Vietnam)
2020-01-26,100
2020-02-02,73
2020-02-09,56
2020-02-16,45
2020-02-23,54
2020-03-01,50
2020-03-08,61
2020-03-15,70
2020-03-22,54
2020-03-29,59
2020-04-05,61
2020-04-12,60
2020-04-19,60
2020-04-26,59
2020-05-03,50
2020-05-10,46
2020-05-17,45
2020-05-24,39
2020-05-31,43
2020-06-07,36
2020-06-14,39
2020-06-21,40
2020-06-28,38
2020-07-05,42
2020-07-12,37
2020-07-19,40
2020-07-26,61
2020-08-02,49
2020-08-09,42
2020-08-16,43
2020-08-23,41
2020-08-30,36
2020-09-06,35
2020-09-13,34
2020-09-20,29
2020-09-27,31
2020-10-04,30
2020-10-11,28
2020-10-18,30
2020-10-25,29
2020-11-01,25
2020-11-08,29
2020-11-15,29
2020-11-22,26
2020-11-29,35
2020-12-06,27
2020-12-13,25
2020-12-20,27
2020-12-27,25
2021-01-03,28
2021-01-10,27
2021-01-17,26
2021-01-24,29
2021-01-31,29
2021-02-07,24
2021-02-14,27
2021-02-21,29
2021-02-28,29
2021-03-07,28
2021-03-14,28
2021-03-21,26
2021-03-28,28
2021-04-04,26
2021-04-11,26
2021-04-18,28
2021-04-25,27
2021-05-02,30
2021-05-09,29
2021-05-16,30
2021-05-23,30
2021-05-30,34
2021-06-06,29
2021-06-13,30
2021-06-20,32
2021-06-27,35
2021-07-04,32
2021-07-11,30
2021-07-18,36
2021-07-25,33
2021-08-01,30
2021-08-08,31
2021-08-15,31
2021-08-22,29
2021-08-29,29
2021-09-05,26
2021-09-12,27
2021-09-19,25
2021-09-26,27
2021-10-03,29
2021-10-10,25
2021-10-17,30
2021-10-24,27
2021-10-31,27
2021-11-07,28
2021-11-14,28
2021-11-21,27
2021-11-28,27
2021-12-05,25
2021-12-12,24
2021-12-19,24
2021-12-26,23
2022-01-02,24
2022-01-09,23
2022-01-16,20
2022-01-23,19
2022-01-30,17
2022-02-06,21
2022-02-13,19
2022-02-20,22
2022-02-27,24
2022-03-06,21
2022-03-13,23
2022-03-20,20
2022-03-27,20
2022-04-03,21
2022-04-10,19
