Category: All categories

Week,mask: (Worldwide)
2020-01-26,40
2020-02-02,30
2020-02-09,25
2020-02-16,22
2020-02-23,42
2020-03-01,40
2020-03-08,40
2020-03-15,57
2020-03-22,63
2020-03-29,96
2020-04-05,100
2020-04-12,75
2020-04-19,71
2020-04-26,68
2020-05-03,62
2020-05-10,60
2020-05-17,59
2020-05-24,51
2020-05-31,46
2020-06-07,46
2020-06-14,49
2020-06-21,57
2020-06-28,63
2020-07-05,62
2020-07-12,80
2020-07-19,81
2020-07-26,63
2020-08-02,57
2020-08-09,52
2020-08-16,45
2020-08-23,44
2020-08-30,42
2020-09-06,41
2020-09-13,41
2020-09-20,41
2020-09-27,39
2020-10-04,38
2020-10-11,36
2020-10-18,37
2020-10-25,40
2020-11-01,32
2020-11-08,34
2020-11-15,36
2020-11-22,35
2020-11-29,33
2020-12-06,31
2020-12-13,30
2020-12-20,28
2020-12-27,29
2021-01-03,30
2021-01-10,31
2021-01-17,33
2021-01-24,34
2021-01-31,31
2021-02-07,30
2021-02-14,27
2021-02-21,28
2021-02-28,32
2021-03-07,27
2021-03-14,25
2021-03-21,26
2021-03-28,27
2021-04-04,28
2021-04-11,27
2021-04-18,29
2021-04-25,31
2021-05-02,29
2021-05-09,37
2021-05-16,35
2021-05-23,28
2021-05-30,26
2021-06-06,25
2021-06-13,26
2021-06-20,24
2021-06-27,26
2021-07-04,24
2021-07-11,26
2021-07-18,26
2021-07-25,35
2021-08-01,32
2021-08-08,31
2021-08-15,32
2021-08-22,30
2021-08-29,27
2021-09-05,25
2021-09-12,26
2021-09-19,24
2021-09-26,24
2021-10-03,25
2021-10-10,25
2021-10-17,27
2021-10-24,28
2021-10-31,22
2021-11-07,21
2021-11-14,21
2021-11-21,21
2021-11-28,23
2021-12-05,22
2021-12-12,24
2021-12-19,25
2021-12-26,28
2022-01-02,33
2022-01-09,36
2022-01-16,32
2022-01-23,29
2022-01-30,26
2022-02-06,29
2022-02-13,27
2022-02-20,25
2022-02-27,28
2022-03-06,24
2022-03-13,20
2022-03-20,21
2022-03-27,20
2022-04-03,19
2022-04-10,21
