Category: All categories

Week,mask: (Qatar)
2020-01-26,61
2020-02-02,51
2020-02-09,29
2020-02-16,26
2020-02-23,74
2020-03-01,100
2020-03-08,91
2020-03-15,80
2020-03-22,75
2020-03-29,80
2020-04-05,89
2020-04-12,61
2020-04-19,76
2020-04-26,72
2020-05-03,56
2020-05-10,78
2020-05-17,78
2020-05-24,59
2020-05-31,75
2020-06-07,63
2020-06-14,64
2020-06-21,66
2020-06-28,56
2020-07-05,46
2020-07-12,47
2020-07-19,48
2020-07-26,50
2020-08-02,38
2020-08-09,37
2020-08-16,55
2020-08-23,49
2020-08-30,57
2020-09-06,42
2020-09-13,41
2020-09-20,40
2020-09-27,33
2020-10-04,40
2020-10-11,39
2020-10-18,41
2020-10-25,38
2020-11-01,30
2020-11-08,32
2020-11-15,40
2020-11-22,38
2020-11-29,34
2020-12-06,35
2020-12-13,28
2020-12-20,33
2020-12-27,26
2021-01-03,32
2021-01-10,33
2021-01-17,34
2021-01-24,39
2021-01-31,38
2021-02-07,42
2021-02-14,40
2021-02-21,40
2021-02-28,32
2021-03-07,34
2021-03-14,30
2021-03-21,29
2021-03-28,37
2021-04-04,37
2021-04-11,27
2021-04-18,27
2021-04-25,28
2021-05-02,31
2021-05-09,38
2021-05-16,38
2021-05-23,32
2021-05-30,35
2021-06-06,29
2021-06-13,31
2021-06-20,28
2021-06-27,26
2021-07-04,28
2021-07-11,24
2021-07-18,23
2021-07-25,25
2021-08-01,24
2021-08-08,24
2021-08-15,27
2021-08-22,25
2021-08-29,22
2021-09-05,26
2021-09-12,24
2021-09-19,27
2021-09-26,41
2021-10-03,26
2021-10-10,29
2021-10-17,27
2021-10-24,17
2021-10-31,20
2021-11-07,29
2021-11-14,22
2021-11-21,22
2021-11-28,22
2021-12-05,18
2021-12-12,23
2021-12-19,22
2021-12-26,34
2022-01-02,40
2022-01-09,32
2022-01-16,24
2022-01-23,24
2022-01-30,28
2022-02-06,30
2022-02-13,23
2022-02-20,24
2022-02-27,27
2022-03-06,17
2022-03-13,31
2022-03-20,20
2022-03-27,23
2022-04-03,16
2022-04-10,18
