Category: All categories

Week,Lockdown: (Italy)
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,<1
2020-03-08,4
2020-03-15,3
2020-03-22,6
2020-03-29,6
2020-04-05,13
2020-04-12,11
2020-04-19,10
2020-04-26,10
2020-05-03,8
2020-05-10,6
2020-05-17,8
2020-05-24,6
2020-05-31,5
2020-06-07,5
2020-06-14,4
2020-06-21,5
2020-06-28,4
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,6
2020-08-02,6
2020-08-09,8
2020-08-16,10
2020-08-23,7
2020-08-30,5
2020-09-06,7
2020-09-13,8
2020-09-20,8
2020-09-27,9
2020-10-04,17
2020-10-11,26
2020-10-18,53
2020-10-25,100
2020-11-01,74
2020-11-08,62
2020-11-15,17
2020-11-22,7
2020-11-29,4
2020-12-06,3
2020-12-13,35
2020-12-20,11
2020-12-27,7
2021-01-03,8
2021-01-10,8
2021-01-17,4
2021-01-24,4
2021-01-31,4
2021-02-07,3
2021-02-14,42
2021-02-21,15
2021-02-28,9
2021-03-07,46
2021-03-14,9
2021-03-21,7
2021-03-28,6
2021-04-04,3
2021-04-11,3
2021-04-18,2
2021-04-25,2
2021-05-02,2
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,3
2021-07-04,2
2021-07-11,3
2021-07-18,3
2021-07-25,2
2021-08-01,2
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,2
2021-09-12,1
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,1
2021-10-17,2
2021-10-24,3
2021-10-31,4
2021-11-07,5
2021-11-14,10
2021-11-21,6
2021-11-28,4
2021-12-05,3
2021-12-12,4
2021-12-19,9
2021-12-26,13
2022-01-02,5
2022-01-09,3
2022-01-16,2
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,<1
2022-03-06,1
2022-03-13,2
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,2
