Category: All categories

Week,lockdown: (Russia)
2020-01-26,4
2020-02-02,7
2020-02-09,6
2020-02-16,6
2020-02-23,8
2020-03-01,3
2020-03-08,14
2020-03-15,35
2020-03-22,82
2020-03-29,58
2020-04-05,50
2020-04-12,47
2020-04-19,35
2020-04-26,51
2020-05-03,34
2020-05-10,43
2020-05-17,40
2020-05-24,35
2020-05-31,24
2020-06-07,33
2020-06-14,18
2020-06-21,17
2020-06-28,21
2020-07-05,24
2020-07-12,20
2020-07-19,18
2020-07-26,20
2020-08-02,16
2020-08-09,13
2020-08-16,17
2020-08-23,9
2020-08-30,5
2020-09-06,11
2020-09-13,14
2020-09-20,16
2020-09-27,13
2020-10-04,16
2020-10-11,18
2020-10-18,12
2020-10-25,25
2020-11-01,36
2020-11-08,25
2020-11-15,31
2020-11-22,25
2020-11-29,22
2020-12-06,20
2020-12-13,34
2020-12-20,29
2020-12-27,18
2021-01-03,35
2021-01-10,20
2021-01-17,13
2021-01-24,19
2021-01-31,20
2021-02-07,17
2021-02-14,15
2021-02-21,16
2021-02-28,19
2021-03-07,14
2021-03-14,17
2021-03-21,28
2021-03-28,17
2021-04-04,19
2021-04-11,26
2021-04-18,23
2021-04-25,20
2021-05-02,11
2021-05-09,13
2021-05-16,11
2021-05-23,18
2021-05-30,11
2021-06-06,4
2021-06-13,23
2021-06-20,10
2021-06-27,15
2021-07-04,12
2021-07-11,13
2021-07-18,11
2021-07-25,10
2021-08-01,9
2021-08-08,4
2021-08-15,11
2021-08-22,8
2021-08-29,7
2021-09-05,10
2021-09-12,9
2021-09-19,5
2021-09-26,10
2021-10-03,2
2021-10-10,8
2021-10-17,48
2021-10-24,86
2021-10-31,100
2021-11-07,43
2021-11-14,19
2021-11-21,10
2021-11-28,17
2021-12-05,13
2021-12-12,25
2021-12-19,22
2021-12-26,20
2022-01-02,21
2022-01-09,31
2022-01-16,23
2022-01-23,31
2022-01-30,14
2022-02-06,18
2022-02-13,17
2022-02-20,8
2022-02-27,15
2022-03-06,11
2022-03-13,20
2022-03-20,14
2022-03-27,23
2022-04-03,16
2022-04-10,23
