Category: All categories

Week,lockdown: (Hong Kong)
2020-01-26,13
2020-02-02,10
2020-02-09,7
2020-02-16,3
2020-02-23,7
2020-03-01,6
2020-03-08,43
2020-03-15,100
2020-03-22,97
2020-03-29,69
2020-04-05,71
2020-04-12,69
2020-04-19,72
2020-04-26,51
2020-05-03,73
2020-05-10,61
2020-05-17,43
2020-05-24,38
2020-05-31,34
2020-06-07,31
2020-06-14,27
2020-06-21,17
2020-06-28,23
2020-07-05,31
2020-07-12,31
2020-07-19,58
2020-07-26,33
2020-08-02,32
2020-08-09,22
2020-08-16,17
2020-08-23,15
2020-08-30,18
2020-09-06,17
2020-09-13,19
2020-09-20,36
2020-09-27,16
2020-10-04,17
2020-10-11,26
2020-10-18,18
2020-10-25,38
2020-11-01,52
2020-11-08,28
2020-11-15,27
2020-11-22,26
2020-11-29,16
2020-12-06,22
2020-12-13,33
2020-12-20,43
2020-12-27,24
2021-01-03,40
2021-01-10,23
2021-01-17,44
2021-01-24,49
2021-01-31,34
2021-02-07,22
2021-02-14,21
2021-02-21,14
2021-02-28,14
2021-03-07,12
2021-03-14,27
2021-03-21,15
2021-03-28,20
2021-04-04,19
2021-04-11,14
2021-04-18,21
2021-04-25,25
2021-05-02,20
2021-05-09,19
2021-05-16,10
2021-05-23,17
2021-05-30,21
2021-06-06,11
2021-06-13,13
2021-06-20,17
2021-06-27,28
2021-07-04,16
2021-07-11,19
2021-07-18,22
2021-07-25,23
2021-08-01,26
2021-08-08,26
2021-08-15,21
2021-08-22,14
2021-08-29,16
2021-09-05,18
2021-09-12,20
2021-09-19,12
2021-09-26,7
2021-10-03,11
2021-10-10,13
2021-10-17,6
2021-10-24,8
2021-10-31,8
2021-11-07,8
2021-11-14,11
2021-11-21,12
2021-11-28,13
2021-12-05,9
2021-12-12,11
2021-12-19,19
2021-12-26,16
2022-01-02,35
2022-01-09,22
2022-01-16,17
2022-01-23,17
2022-01-30,6
2022-02-06,41
2022-02-13,26
2022-02-20,23
2022-02-27,92
2022-03-06,29
2022-03-13,44
2022-03-20,15
2022-03-27,20
2022-04-03,21
2022-04-10,27
